,Unnamed: 0,user_id,postingFrequency,postingInterval,generalMoreFreq,generalWordCount,healthPostingFrequency,healthPostingInterval,healthMoreFreq,healthWordCount,mentionMethods,raw_label
0,0,22002,21,44.15,1,16.68224299,2,0.0,0,151.6,0,a
1,1,22006,44,23.27906977,0,104.3125,3,159.5,0,254.25,1,c
2,3,22015,20,57.36842105,1,58.72727273,3,379.5,0,149.75,1,d
3,29,22134,118,11.20512821,0,40.75862069,17,69.5625,0,183.5,1,d
4,30,22134,118,11.20512821,0,40.75862069,17,69.5625,0,183.5,1,d
5,31,22134,118,11.20512821,0,40.75862069,17,69.5625,0,183.5,1,d
6,91,22354,86,0.882352941,0,88.85185185,3,35.0,0,120.0357143,0,a
7,181,22733,126,5.76,0,10.63157895,1,0.0,0,0.0,1,a
8,208,22913,98,23.30927835,0,1.0,8,104.8571429,1,291.0,0,a
9,289,23308,642,2.499219969,0,83.35714286,25,32.25,1,363.5,1,a
10,389,23785,76,9.066666667,0,100.6363636,0,0.0,0,0.0,1,a
11,441,26024,155,6.383116883,0,44.58730159,7,323.0,0,330.0,0,d
12,452,26047,17,60.8125,1,30.91891892,0,0.0,0,0.0,0,a
13,483,26174,52,26.80392157,1,130.2608696,1,0.0,0,0.0,0,d
14,485,26179,44,19.0,1,1.0,4,69.0,0,189.6428571,0,a
15,495,26244,40,36.12820513,1,6.714285714,4,55.33333333,0,256.6,1,a
16,506,26306,15,14.28571429,0,28.64864865,0,0.0,0,0.0,0,c
17,532,26433,87,10.73255814,1,30.48076923,0,0.0,0,0.0,0,a
18,544,26474,24,19.47826087,1,22.13333333,10,57.66666667,1,145.0,1,d
19,545,26474,24,19.47826087,1,22.13333333,10,57.66666667,1,145.0,1,d
20,546,26474,24,19.47826087,1,22.13333333,10,57.66666667,1,145.0,1,d
21,547,26474,24,19.47826087,1,22.13333333,10,57.66666667,1,145.0,1,d
22,548,26474,24,19.47826087,1,22.13333333,10,57.66666667,1,145.0,1,d
23,549,26474,24,19.47826087,1,22.13333333,10,57.66666667,1,145.0,1,d
24,559,26545,21,45.65,0,1.1304347829999999,1,0.0,0,0.0,0,c
25,590,26646,23,7.272727272999999,1,1.294657763,8,26.85714286,1,467.5,0,d
26,598,26683,18,33.94117647,1,1.0,0,0.0,0,0.0,0,c
27,615,26741,38,10.16216216,1,61.38461538,4,43.0,0,1255.0,0,d
28,638,26849,15,80.0,0,39.61904762,1,0.0,0,0.0,0,c
29,641,26864,22,11.85714286,1,3.3529411760000003,3,22.5,0,211.5,1,d
30,655,26915,24,37.73913043,1,35.18867925,3,101.5,0,113.375,1,d
31,686,27116,23,39.09090909,1,70.44217687,3,143.5,0,102.0,0,a
32,691,27149,167,5.240963855,1,67.36363636,0,0.0,0,0.0,0,a
33,763,27495,31,19.73333333,1,1.0,7,57.66666667,1,302.5,0,c
34,770,27553,21,59.5,1,19.66666667,1,0.0,0,0.0,0,a
35,790,27668,30,33.68965517,0,1.0,11,92.9,0,735.6666667000001,0,c
36,828,27877,29,37.75,0,3.541666667,3,45.0,0,171.5,0,a
37,880,18136,400,1.681704261,0,50.36842105,26,25.88,1,599.0,0,d
38,895,18209,72,36.33802817,0,6.387096774,3,51.0,0,147.09523810000002,0,b
39,909,18262,14,6.461538462,0,1.0,3,180.5,0,127.0,0,b
40,930,18362,53,16.67307692,1,11.36363636,4,211.0,0,232.0,0,c
41,957,18482,12,30.18181818,0,1.0,3,90.0,0,69.0,0,a
42,987,18583,160,3.93081761,1,48.38888889,0,0.0,0,0.0,0,d
43,1002,18647,57,8.410714286000001,1,143.5714286,0,0.0,0,0.0,1,a
44,1028,18752,37,26.0,0,286.0952381,6,47.2,1,1070.0,0,b
45,1041,18787,56,19.38181818,1,4.331428571,5,156.75,0,294.5,0,a
46,1045,18824,71,12.02857143,1,1.0,0,0.0,0,0.0,0,a
47,1057,18869,14,9.846153846,1,17.25490196,6,137.8,1,162.8,1,d
48,1058,18869,14,9.846153846,1,17.25490196,6,137.8,1,162.8,1,d
49,1059,18869,14,9.846153846,1,17.25490196,6,137.8,1,162.8,1,d
50,1089,19021,67,14.98484848,1,7.727272727000001,1,0.0,0,0.0,0,d
51,1102,19089,16,12.46666667,0,1.0,3,90.5,0,174.5,0,d
52,1111,19113,23,65.5,1,67.68181818,0,0.0,0,0.0,1,d
53,1171,19339,11,8.0,0,14.23529412,0,0.0,0,0.0,0,d
54,1174,19347,46,2.244444444,0,57.46464646,3,41.0,0,51.0,0,d
55,1178,19368,106,11.68571429,0,52.2,5,207.75,0,460.66666669999995,1,a
56,1187,19409,108,15.26168224,1,17.6875,0,0.0,0,0.0,0,a
57,1209,19512,35,26.20588235,1,4.166666667,11,74.0,0,118.5,1,a
58,1273,19832,13,69.66666667,1,7.660377358,0,0.0,0,0.0,1,b
