user_id,postingFrequency,postingInterval,generalMoreFreq,generalWordCount,healthPostingFrequency,healthPostingInterval,healthMoreFreq,healthWordCount,mentionMethods,SWFrequency,SWPostingInterval,SWFreq,SWWordCount,fin_body,drug_body,mental_body,rela_body,suicide_body,hopeless_body,motivations,family_senti,partner_senti,self_senti,mclust,sentiment
195,25,20.25,0,94.23809523809524,4,175,0,359.57142857142856,0,1,0,0,116,1,1,1,1,0,0,4,-0.5,-0.5,0,2,65.712
450,19,13.333333333333334,1,101.29411764705883,3,262,0,159.5,1,1,0,0,299,0,1,1,1,1,0,4,-0.75,-0.75,0,2,67.296
979,17,53.75,1,7.1344537815126055,0,0,0,0,0,1,0,0,68,1,0,0,0,0,0,1,0,0,0,3,68.48
1073,15,70.07142857142857,1,11.833333333333334,0,0,0,0,0,1,0,0,40,0,1,0,1,1,0,3,0,0,0,2,69.824
1642,14,63.53846153846154,1,200.57142857142858,1,0,0,0,1,1,0,0,171,0,0,1,0,1,0,2,0,0,0,3,70.568
1900,128,10.472440944881889,1,56.68846153846154,7,174.83333333333334,1,227.375,0,1,0,0,111,1,1,1,1,1,1,5,-0.1,-0.2,-0.1,4,108.448
2198,22,20.38095238095238,0,99.6,14,30,1,589,1,1,0,0,424,1,1,1,1,1,1,5,-0.3,-0.3,-0.35,4,68.072
2206,16,102.2,1,35.10236220472441,0,0,0,0,0,1,0,0,80,0,0,0,1,0,0,1,0,0,0,3,69.36
3e3,23,35.22727272727273,1,86.45454545454545,1,0,0,171,0,1,0,0,163,1,0,0,1,0,0,2,-1,-1,0,3,65.512
3202,14,22.692307692307693,1,10.837209302325581,3,76,0,353.7142857142857,0,1,0,0,419,1,1,1,1,0,0,4,-0.5,-1,-1.5,2,69.32
3260,16,19.333333333333332,0,27.037037037037038,1,0,0,0,1,1,0,0,409,1,0,1,1,1,0,4,0.666666666666667,0,-1.33333333333333,2,68.472
4790,102,10.099009900990099,1,42.05,5,161.75,1,495.5,0,1,0,0,358,1,1,1,1,1,1,5,-0.25,0,-1.125,4,94.096
4978,74,9.945205479452055,0,229.58333333333334,56,16.836363636363636,0,52,0,1,0,0,185,1,1,1,1,1,1,5,0.516129032258065,-0.17741935483871,-0.548387096774194,4,89.944
5253,85,17.952380952380953,1,34.5,3,133,0,242.5,1,1,0,0,696,1,1,1,1,1,0,5,0,-0.666666666666667,0,1,82.04
5582,11,71.7,0,19.54385964912281,1,0,0,0,0,1,0,0,133,0,1,1,1,0,0,3,0,0,0,2,71.392
6357,56,26.345454545454544,1,11.466666666666667,0,0,0,0,1,3,130,0,412.6666666666667,0,0,0,1,1,0,2,0,0,0,3,68.944
6789,12,52.90909090909091,1,92.94444444444444,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,5,70.92
6792,41,11.45,0,36.20238095238095,5,121.75,1,313.25,1,1,0,0,104,1,1,1,1,1,0,5,0.2,0,0,1,65.232
7185,80,12.10126582278481,0,34.03174603174603,7,113.83333333333333,1,1029.5,1,7,77.5,1,281,1,1,1,1,1,0,5,-0.5,0,-0.7,4,78.088
7214,358,2.697478991596639,0,536.7397260273973,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,5,304.136
7708,13,72.66666666666667,1,40.3125,5,216.25,1,970.6666666666666,0,1,0,0,0,0,1,1,1,0,0,3,0.333333333333333,0,0.333333333333333,2,70.44
8275,16,0.8,1,156,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,5,68.984
8436,38,20.16216216216216,1,49.86363636363637,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-2,0,0,5,64.92
9333,66,21.50769230769231,0,42.11764705882353,6,243.4,1,207.33333333333334,1,1,0,0,0,1,1,1,1,1,0,5,-0.142857142857143,-0.142857142857143,0,1,72.536
9534,23,45.95454545454545,0,198.77272727272728,5,82.25,1,111,1,1,0,0,0,1,1,1,1,1,0,5,-1,-0.75,0.25,1,66.384
10076,567,3.4381625441696113,0,23.43243243243243,21,118.05,1,601.6666666666666,1,1,0,0,31,1,1,1,1,1,0,5,-0.102564102564103,0,-0.128205128205128,1,531.536
11442,230,11.510917030567686,1,90,1,0,0,0,0,2,145,0,42.5,0,0,1,0,0,0,1,0,0,0,5,191.928
11582,22,50.38095238095238,1,8.666666666666666,3,288.5,0,134.52542372881356,0,1,0,0,31,1,1,1,1,1,0,5,0.6,0,0.2,1,67.048
11994,17,48.125,1,23.235294117647058,5,133.5,1,488.5,1,4,26,0,46,1,1,0,1,1,1,4,0.111111111111111,0,0,4,68.736
12083,16,65,1,73.025,0,0,0,0,1,1,0,0,242,1,1,0,1,1,0,4,0,0,-1,2,68.672
12716,143,8.21830985915493,1,413.4,10,65.55555555555556,1,36.5,1,3,97,0,148.6,1,1,1,1,1,1,5,-0.3,0,0.3,4,125.632
13151,27,15.115384615384615,1,39.91519434628975,3,8.5,0,204,1,1,0,0,72,1,1,1,1,1,0,5,-1,0,0.25,1,64.848
13606,280,7.301075268817204,0,211.06666666666666,5,415.75,1,176,0,1,0,0,0,1,1,1,1,1,0,5,0.166666666666667,0,0,1,236.624
13913,17,77.5625,0,71.65217391304348,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,2,-0.666666666666667,0,0,3,67.568
14457,49,44.6875,1,88.83802816901408,4,57,0,206.3,1,1,0,0,214,1,1,1,1,1,0,5,0.4,0.4,-0.2,1,68.424
14614,13,35.833333333333336,1,286.6363636363636,0,0,0,0,0,3,147.5,0,376.85714285714283,0,1,0,0,0,0,1,-0.5,0,0,5,70.872
15232,469,2.0833333333333335,0,9.555555555555555,60,14.610169491525424,0,320.1666666666667,1,5,99.25,0,26.5,1,1,1,1,1,1,5,-0.142857142857143,-0.0267857142857143,-0.133928571428571,4,455.992
17119,58,29.54385964912281,0,10.088235294117647,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,3,-3,0,0,2,68.976
17139,19,11.11111111111111,1,32.746153846153845,7,24.333333333333332,0,87.625,1,3,24,0,167.5,1,1,1,1,1,0,5,-0.363636363636364,-0.272727272727273,-1.63636363636364,4,69.176
17153,19,34.5,1,64.01754385964912,10,70.11111111111111,1,266.1111111111111,1,3,8,0,192.33333333333334,1,1,1,1,1,0,5,-1.11111111111111,-1.11111111111111,-0.444444444444444,4,67.8
18233,17,32.625,1,38.326530612244895,4,168.33333333333334,0,833.6666666666666,0,5,88.75,0,40.5,1,1,1,1,1,0,5,-0.9,-0.2,0,4,68.376
18401,20,5.421052631578948,1,17.352941176470587,8,44.57142857142857,0,67,1,1,0,0,227,1,1,1,1,1,0,5,-0.7,-0.8,0,1,66.96
18898,21,45.2,0,22,1,0,0,0,1,1,0,0,67,1,1,1,1,1,0,5,-2,1,0,1,66.52
19852,11,19.4,0,62.532786885245905,1,0,0,0,1,1,0,0,65,0,0,1,0,1,0,2,2,0,0,3,72.288
19858,28,6.481481481481482,1,43.6551724137931,0,0,0,0,0,1,0,0,1114,0,0,0,1,0,0,1,0,0,0,3,64.912
20438,91,9.033333333333333,0,76.61111111111111,5,73,1,211.66666666666666,0,1,0,0,0,1,1,1,1,0,0,4,0.133333333333333,0,-0.2,2,84.072
20797,58,2.807017543859649,0,82.28571428571429,4,72.33333333333333,0,301.5,1,3,123,0,229,1,1,1,1,1,0,5,0,0,-0.4,4,68.776
21664,113,10.571428571428571,1,52.733333333333334,3,220,0,559,0,1,0,0,0,1,1,1,1,0,0,4,0.333333333333333,0.333333333333333,0.666666666666667,2,99.432
