"","user_id","family_senti","partner_senti","self_senti"
"1",195,-0.5,-0.5,0
"2",450,-0.75,-0.75,0
"3",979,0,0,0
"4",1073,0,0,0
"5",1642,0,0,0
"6",1900,-0.1,-0.2,-0.1
"7",2198,-0.3,-0.3,-0.35
"8",2206,0,0,0
"9",3000,-1,-1,0
"10",3202,-0.5,-1,-1.5
"11",3260,0.666666666666667,0,-1.33333333333333
"12",4790,-0.25,0,-1.125
"13",4978,0.516129032258065,-0.17741935483871,-0.548387096774194
"14",5253,0,-0.666666666666667,0
"15",5582,0,0,0
"16",6357,0,0,0
"17",6789,0,0,0
"18",6792,0.2,0,0
"19",7185,-0.5,0,-0.7
"20",7214,0,0,0
"21",7708,0.333333333333333,0,0.333333333333333
"22",8275,1,0,0
"23",8436,-2,0,0
"24",9333,-0.142857142857143,-0.142857142857143,0
"25",9534,-1,-0.75,0.25
"26",10076,-0.102564102564103,0,-0.128205128205128
"27",11442,0,0,0
"28",11582,0.6,0,0.2
"29",11994,0.111111111111111,0,0
"30",12083,0,0,-1
"31",12716,-0.3,0,0.3
"32",13151,-1,0,0.25
"33",13606,0.166666666666667,0,0
"34",13913,-0.666666666666667,0,0
"35",14457,0.4,0.4,-0.2
"36",14614,-0.5,0,0
"37",15232,-0.142857142857143,-0.0267857142857143,-0.133928571428571
"38",17119,-3,0,0
"39",17139,-0.363636363636364,-0.272727272727273,-1.63636363636364
"40",17153,-1.11111111111111,-1.11111111111111,-0.444444444444444
"41",18233,-0.9,-0.2,0
"42",18401,-0.7,-0.8,0
"43",18898,-2,1,0
"44",19852,2,0,0
"45",19858,0,0,0
"46",20438,0.133333333333333,0,-0.2
"47",20797,0,0,-0.4
"48",21664,0.333333333333333,0.333333333333333,0.666666666666667
"49",22411,-0.2,0,0
"50",22829,0.5,0.166666666666667,-0.5
"51",23390,2,-3,-1
"52",24261,0,0,0
"53",25040,-0.133333333333333,0,-0.133333333333333
"54",25347,0.2,0,0.2
"55",27604,-1.5,0,0
"56",27624,-0.473684210526316,0.0526315789473684,-0.631578947368421
"57",28148,-0.166666666666667,0,0
"58",28152,0,0,0
"59",28351,0.2,0,-0.4
"60",29508,0,0,-0.125
"61",29780,0.111111111111111,-0.888888888888889,0
"62",29993,0.15,0.05,-0.2
"63",30014,-0.125,0,-0.5
"64",30226,0.2,0,0
"65",30606,-0.25,0,-0.75
"66",31051,0,0,0
"67",31156,0,0,0
"68",31178,0,0,0
"69",31217,-0.0833333333333333,0,0.0833333333333333
"70",31476,0,0,0
"71",31528,-0.5,0,0
"72",32828,-0.5,0,0
"73",33167,-0.2,0,0
"74",33276,0,0,0
"75",33573,0,0,0
"76",34411,-1,0,0
"77",35048,0.5,0,0
"78",35114,-0.666666666666667,0,-1
"79",35428,1,-1,-0.5
"80",35429,-0.4,0,-0.8
"81",35898,0.0666666666666667,-0.0666666666666667,-0.133333333333333
"82",35972,0.3,0,0.2
"83",36393,0,0,0
"84",36402,0,0,0
"85",37536,-0.05,-0.05,0
"86",37682,-1,0,-1
"87",37948,0,-1.5,0.5
"88",39498,0,0,-0.5
"89",39685,0.5,0,-0.5
"90",41458,0.25,0,0.25
"91",41517,0,0,0
"92",41946,-0.5,0,-0.5
"93",41983,-0.8,0,0
"94",42155,0,0,0
"95",42279,0,-1,-1
"96",42332,0,0,0
"97",42350,0.125,-0.25,0
"98",42402,-0.3,0,-0.5
"99",42514,-0.0625,-0.5625,-0.1875
"100",42864,0,0,-0.125
"101",43252,0,0,0
"102",43319,-0.333333333333333,0,0
"103",43555,0,0,0
"104",43801,0.230769230769231,0,0.0769230769230769
"105",44227,0,0,-2
"106",44759,-0.3,0,0
"107",44772,-0.5,0.25,0
"108",44876,0,0,0
"109",45088,0,0,0
"110",45145,0,0,0
"111",45551,-0.333333333333333,-0.333333333333333,-0.5
"112",46091,-0.25,0,-0.375
"113",46549,-2,0,-2
"114",46729,-0.125,0,0
"115",46849,-0.166666666666667,0,-0.0555555555555556
"116",47221,-0.428571428571429,0.142857142857143,-0.142857142857143
"117",47849,-0.217391304347826,0,-0.130434782608696
"118",48459,0,0,-0.230769230769231
"119",49110,-0.238095238095238,0.0476190476190476,0.0476190476190476
"120",49555,0,0,0
"121",50962,0,-1.5,0
"122",51058,-0.363636363636364,0,-0.0909090909090909
"123",51307,-1,0,0
"124",51666,0,-0.25,0.25
"125",51766,0.555555555555556,0,-0.222222222222222
