,postingFrequency,postingInterval,generalMoreFreq,healthPostingFrequency,healthWordCount,SWFrequency,SWPostingInterval,SWWordCount,fin_body,drug_body,rela_body,motivations,mclust,WC_liwc,Analytic_liwc,Clout_liwc,Authentic_liwc,ppron_liwc,i_liwc,you_liwc,shehe_liwc,they_liwc,article_liwc,auxverb_liwc,adverb_liwc,negate_liwc,adj_liwc,interrog_liwc,number_liwc,quant_liwc,affect_liwc,posemo_liwc,negemo_liwc,anx_liwc,anger_liwc,sad_liwc,family_liwc,friend_liwc,female_liwc,male_liwc,insight_liwc,cause_liwc,discrep_liwc,certain_liwc,see_liwc,bio_liwc,body_liwc,health_liwc,drives_liwc,affiliation_liwc,achieve_liwc,reward_liwc,risk_liwc,focuspresent_liwc,relativ_liwc,motion_liwc,space_liwc,time_liwc,leisure_liwc,money_liwc,swear_liwc,netspeak_liwc,filler_liwc,AllPunc_liwc,Comma_liwc,SemiC_liwc,Quote_liwc,Apostro_liwc,Parenth_liwc,OtherP_liwc,shame_empath,emotional_empath,fear_empath,hate_empath,joy_empath,love_empath,nervousness_empath,optimism_empath,pain_empath,positive_emotion_empath,suffering_empath,banking_empath,health_empath,friends_empath,help_empath,Unnamed: 0_y,almost,alon,although,alway,ani,anyth,bad,best,black,bodi,build,call,cannot,chest,come,consid,consum,cri,damn,day,dead,deal,death,debt,depress,die,disappoint,divorc,due,earli,earth,end,everi,everyon,everyth,extrem,facebook,fact,feel,fill,get,go,good,got,guilt,hard,hate,head,hit,home,honestli,hope,horribl,idea,instead,job,keep,know,left,life,like,lost,lot,love,make,mayb,medic,medicin,miss,money,move,much,music,noth,occas,one,past,pay,place,plan,pull,put,rant,readi,realli,reason,right,shit,singl,sister,small,start,student,suicid,therapist,thi,thing,thought,throat,time,told,tri,trust,understand,veri,wa,want,way,went,whi,work,would,year,user_id
0,21,25.6,1,1,218.0,3,57.0,207.72222222222197,1,1,1,4,1,99.0,45.3,3.18,95.725,13.745000000000001,13.065,0.0,0.34,0.34,8.26,7.4,4.0,3.3200000000000003,7.28,0.0,0.34,4.9399999999999995,6.68,1.7,4.98,2.3,0.68,1.6600000000000001,0.68,0.0,0.0,0.68,4.3,0.68,1.7,3.36,1.96,2.0,0.0,2.0,6.08,0.34,3.06,3.7,0.34,17.37,11.02,1.02,6.640000000000001,3.36,0.0,0.0,0.0,0.0,0.0,15.33,3.36,0.0,0.0,4.34,0.0,0.0,0.009433962264150943,0.009433962264150943,0.009433962264150943,0.003401360544217687,0.0,0.009433962264150943,0.009433962264150943,0.019638043896804003,0.01283532280836863,0.010204081632653059,0.006802721088435374,0.0,0.0,0.0,0.0,588.5,0.0,0.0,0.0,0.0,0.0,0.08189106317832683,0.0,0.0,0.0,0.0,0.0,0.0,0.06694767119796251,0.0,0.0,0.19185491459042558,0.0,0.0,0.0,0.0,0.058356735895100764,0.0,0.0,0.0,0.0828694590791361,0.0380229478747479,0.0,0.0,0.0,0.0,0.0,0.03708307566820998,0.04106970130475297,0.0,0.03934721650865363,0.0,0.0,0.05725504716869874,0.06026540927452899,0.0,0.16448059072878926,0.0,0.0,0.0,0.0,0.0,0.04453992842619762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04573279229700564,0.041817583721373994,0.0,0.0,0.029181077135019787,0.05833711853126746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03511387092969354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04573279229700564,0.0,0.0,0.0,0.0,0.04097876084681611,0.0,0.0,0.0,0.0,0.0,0.0,0.07496953050632627,0.0,0.07363913899097164,0.10110417886249767,0.0,0.0,0.03085053021269406,0.0,0.033760522386274486,0.0,0.0,0.0,0.0,0.07720778877358557,0.08157134737671401,0.0,0.0,0.0,0.09642327463569052,0.0,16
1,116,7.42608695652174,0,1,63.0,3,50.0,102.0,0,1,0,2,2,70.0,8.07,50.265,49.91,22.295,13.71,0.795,7.0,0.0,0.0,12.05,7.72,4.04,2.745,0.65,3.03,2.095,6.275,2.235,4.04,0.0,0.0,2.745,0.0,1.445,0.0,7.0,4.69,0.795,2.095,0.0,0.65,0.795,0.0,0.0,6.71,3.8249999999999997,0.0,1.585,1.3,19.485,8.945,0.0,3.03,5.92,0.0,0.0,0.0,0.0,0.0,13.495,3.535,0.0,0.0,0.0,0.0,1.585,0.020923520923520924,0.0,0.0,0.0,0.0,0.020923520923520924,0.020923520923520924,0.0,0.020923520923520924,0.014430014430014432,0.0,0.0,0.0,0.014430014430014432,0.022366522366522368,594.5,0.0,0.0,0.0,0.0,0.05056731302935222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12473506536803647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12901236126403878,0.0,0.050063111626579115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1073344238556948,0.0,0.0,0.0,0.0,0.0,0.07324418171176086,0.06139706750017757,0.09692585689340404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.044652594123442045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1429377394646222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04598065019758258,56
2,59,7.32758620689655,1,4,799.5,1,0.0,0.0,1,1,1,5,3,254.0,30.71,11.13,84.8,13.78,11.42,0.0,2.36,0.0,3.54,13.39,5.51,1.97,3.54,2.36,0.79,2.36,7.87,3.54,3.54,0.79,0.79,1.57,0.39,0.0,2.76,0.39,4.72,1.57,3.94,0.79,0.39,1.97,0.39,0.39,4.33,1.18,0.39,1.18,0.39,14.96,13.39,2.36,7.09,4.33,0.0,0.0,0.0,0.0,0.0,12.99,1.57,0.0,0.0,2.76,0.0,0.0,0.007874015748031496,0.0,0.003937007874015748,0.011811023622047244,0.003937007874015748,0.007874015748031496,0.007874015748031496,0.011811023622047244,0.007874015748031496,0.015748031496062992,0.003937007874015748,0.0,0.0,0.003937007874015748,0.011811023622047244,581.0,0.0,0.1484917702233692,0.0,0.0,0.058492662045194176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06860113882670803,0.0,0.0,0.0,0.0,0.0,0.0923961958626682,0.0,0.0,0.0,0.0,0.06020171768048069,0.12110944733001472,0.0,0.0,0.0,0.0,0.05871361840369359,0.0,0.0,0.0,0.09974962312664484,0.0,0.0,0.04430374956963583,0.0,0.04231940028524292,0.0,0.06682450430187774,0.0,0.0,0.0,0.0705200502984553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.144817422345776,0.0,0.04138560270322257,0.0,0.0,0.08577235668474217,0.0,0.0,0.12382969191149658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05559577735376375,0.0,0.0,0.0,0.04891928341180117,0.0,0.0,0.0,0.0,0.0,0.0,0.12265666770998487,0.1060394377955413,0.051650936959763895,0.0696287359251371,0.0,0.0,0.0,0.0,0.0,0.06488165513948374,0.0,0.055113394978788366,0.0,0.0369698471165808,0.10151683158197283,0.1204034353609614,0.0,0.0,0.0,0.0,0.0,0.0,0.06980436744465661,0.04523427757595213,0.0,0.059966680550912976,0.0807916480678189,0.0,0.0,0.19363364485826545,0.0,137
3,34,20.3030303030303,0,0,0.0,3,44.5,153.0,0,0,0,0,2,2.5,49.5,49.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,585.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152
4,76,7.65333333333333,1,7,147.333333333333,1,0.0,254.0,1,1,1,5,3,24.0,6.55,1.0,74.76,8.33,4.17,0.0,0.0,4.17,0.0,16.67,4.17,8.33,0.0,4.17,0.0,4.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.17,8.33,16.67,0.0,4.17,0.0,0.0,0.0,4.17,0.0,4.17,0.0,0.0,16.67,16.67,8.33,4.17,4.17,0.0,0.0,0.0,0.0,0.0,41.67,12.5,0.0,0.0,4.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04166666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,593.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2240218312236908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2591291809367517,0.0,0.0,0.2493641369999484,0.0,0.0,0.0,0.0,0.0,0.0,0.2080229360129171,0.0,0.0,0.0,0.0,0.2471320618069327,0.0,370
5,55,7.72222222222222,1,1,0.0,1,0.0,0.0,1,1,1,4,1,60.0,10.15,96.63,10.08,21.67,6.67,3.33,11.67,0.0,0.0,6.67,5.0,1.67,1.67,0.0,0.0,1.67,5.0,5.0,0.0,0.0,0.0,0.0,0.0,3.33,0.0,15.0,6.67,0.0,6.67,0.0,0.0,1.67,1.67,0.0,15.0,8.33,0.0,1.67,0.0,18.33,13.33,5.0,8.33,0.0,0.0,0.0,0.0,0.0,0.0,13.33,0.0,0.0,0.0,0.0,0.0,3.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017857142857142856,0.0,0.017857142857142856,0.0,0.0,0.0,0.0,0.08928571428571429,596.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13768671048969794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08493764265183547,0.1761459954022047,0.0,0.0,0.0,0.0,0.0,0.1681016819856559,0.0,0.0,0.0,0.14377646348562625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14840151997031567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,706
6,67,12.560606060606101,0,19,48.0,8,113.857142857143,16.0454545454545,1,1,1,5,5,88.14285714285714,27.33857142857143,9.694285714285714,62.67714285714285,9.821428571428571,9.122857142857143,0.4028571428571429,0.11857142857142856,0.11857142857142856,3.9,4.941428571428572,4.24,1.7185714285714286,2.1685714285714286,0.7871428571428571,0.29,1.5742857142857143,7.102857142857142,2.775714285714286,4.081428571428572,0.2785714285714286,0.8200000000000001,1.977142857142857,0.3485714285714286,0.11857142857142856,0.7885714285714285,0.3485714285714286,1.747142857142857,0.7514285714285714,1.2085714285714286,1.6600000000000001,1.002857142857143,2.474285714285714,0.7414285714285713,1.4600000000000002,5.368571428571428,1.2442857142857142,0.7314285714285713,1.8614285714285717,0.058571428571428566,12.284285714285712,9.51,1.3342857142857143,3.87,4.305714285714286,0.8042857142857143,0.32285714285714284,0.6871428571428572,0.7999999999999999,0.058571428571428566,10.205714285714285,0.8957142857142857,0.058571428571428566,0.2357142857142857,1.7771428571428574,0.5485714285714286,0.9242857142857144,0.008707565424254004,0.009206945015500591,0.0006184291898577612,0.00861594628501582,0.0016611820574281473,0.006960664881052966,0.0044508354681995705,0.0022796112472859087,0.007556425530311371,0.0006184291898577612,0.004766772119539947,0.0,0.0010427528675703858,0.00854506437429262,0.004658385093167702,600.0,0.0,0.013597543836447474,0.0,0.0,0.018571232127279513,0.0,0.0,0.0,0.0,0.0,0.0,0.019346624433938194,0.03786437971736388,0.0,0.014940005928055942,0.0,0.0,0.0,0.0,0.06026192073608018,0.0,0.010892412733489096,0.0,0.0,0.0325837753799985,0.01311077387938885,0.0,0.0,0.0,0.0,0.0,0.03142807959680484,0.02061783499098489,0.0,0.0,0.0,0.0,0.0,0.035619637615106496,0.0,0.076434459470261,0.01746002875232797,0.008978188336500817,0.0,0.0,0.0,0.015357907864578274,0.0,0.0,0.016262557269497376,0.0,0.018878418820725985,0.0,0.0,0.0,0.026522160058647028,0.0,0.0,0.0,0.039260080386731684,0.03216571973137607,0.013878315408478873,0.019622558443398448,0.0,0.01645613003635597,0.0,0.01675899658870095,0.0,0.0,0.0,0.02413172586864043,0.0,0.0,0.017169799416336614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013611836466220538,0.0,0.0,0.015987705021132007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031223514636263307,0.02291372518134452,0.0,0.0,0.02181822927684864,0.0,0.0,0.0,0.011338794046045597,0.0,0.0,0.025087152341622888,0.0,0.0,0.0,0.011090835725112958,0.012757317017415162,0.007145943584832626,967
7,66,18.2,1,3,373.5,1,0.0,24.0,0,1,1,4,5,332.0,6.36,3.34,99.0,17.47,16.27,0.0,0.0,1.2,4.52,13.55,8.13,5.12,3.92,2.11,1.2,1.81,5.12,1.81,3.31,0.3,0.9,0.9,0.3,0.6,0.3,0.0,3.01,0.9,2.11,3.61,0.6,0.9,0.0,0.9,6.02,1.81,0.9,1.2,1.51,16.87,16.27,1.51,5.72,9.04,0.9,0.0,0.0,0.0,0.0,25.3,6.33,0.0,0.0,7.83,1.2,0.6,0.009230769230769232,0.003076923076923077,0.0,0.006153846153846154,0.0,0.009230769230769232,0.009230769230769232,0.0,0.009230769230769232,0.0,0.006153846153846154,0.0,0.0,0.009230769230769232,0.0,604.0,0.0,0.0,0.0,0.1612991529258498,0.04793354914022056,0.0,0.0,0.0,0.0,0.0,0.0,0.12031918395460732,0.04033165536451285,0.0,0.0,0.0,0.0,0.0,0.0,0.04470021101953812,0.0,0.0,0.0,0.0,0.0998470119726894,0.0,0.0,0.0,0.0,0.0,0.0,0.0962292367811574,0.05328719287939868,0.05594437690405065,0.1021046001676879,0.0,0.0,0.0,0.10891807020774724,0.09299043149005327,0.06935977889294989,0.0,0.05476132473249454,0.0,0.0,0.0,0.0,0.0,0.0,0.12238764832692968,0.0,0.0,0.0,0.0,0.0,0.05933746890343195,0.0,0.10174398385252932,0.0,0.0,0.1757217627932532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07766353430578972,0.0,0.2491421699616125,0.0,0.0,0.10472502092735743,0.0,0.16035343876209202,0.06643689444494652,0.0,0.12933956533521246,0.0,0.0,0.0,0.0,0.0,0.04232689432028837,0.0,0.0,0.0,0.0,0.0,0.08756319229692762,0.053169199283909306,0.0,0.0,0.0,0.09088811766336756,0.0,0.0,0.0,0.120084010960554,0.0,0.0,0.0,0.06915954082918921,0.0,0.0,0.03339190207107573,0.04914147738296107,0.0,0.05450782605926577,0.0,0.0793394205912728,0.0435857795027744,981
8,14,23.6923076923077,1,4,555.0,1,0.0,56.0,1,1,1,5,4,227.0,30.21,29.84,79.72,13.22,10.13,2.2,0.44,0.44,4.85,9.69,5.29,3.08,5.73,2.2,0.44,2.2,9.69,4.41,5.29,0.0,3.08,0.88,1.32,1.76,0.0,0.88,3.08,0.44,2.2,0.88,1.32,6.17,0.88,2.2,7.05,3.96,1.32,0.0,0.44,11.45,11.89,0.88,8.37,2.2,0.44,0.88,1.32,0.0,0.88,18.5,10.13,0.0,0.88,0.0,0.0,0.0,0.008849557522123894,0.004424778761061947,0.004424778761061947,0.0,0.0,0.02212389380530973,0.0,0.008849557522123894,0.0,0.017699115044247787,0.004424778761061947,0.004424778761061947,0.0,0.01327433628318584,0.0,577.0,0.0,0.0,0.0,0.0,0.13015068820870482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10950978586901892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04881993153051084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0460430803234318,0.0,0.0,0.04771252863810671,0.0,0.0,0.137765311574474,0.0,0.0,0.0,0.0,0.0,0.09248799602114888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08779671932777723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07218334551092175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11543089701915984,0.08226076360614064,0.11294139327213695,0.0,0.0,0.0,0.0,0.0594685491137051,0.0,0.0,0.0,0.10064975932510938,0.09066674830263123,0.13343049316617864,0.0,0.0,0.0,0.05385622584417359,0.0,1215
9,29,27.857142857142897,1,0,0.0,1,0.0,0.0,0,0,0,1,2,111.0,6.75,8.84,92.7,18.92,16.22,0.9,0.9,0.9,0.9,11.71,9.91,0.9,9.91,1.8,1.8,1.8,11.71,5.41,6.31,0.9,3.6,0.9,0.0,0.9,0.9,0.0,2.7,3.6,4.5,0.0,0.0,3.6,0.0,1.8,4.5,2.7,0.9,0.9,0.9,13.51,9.91,2.7,3.6,4.5,0.9,0.0,0.0,0.0,0.0,30.63,9.01,0.0,3.6,4.5,1.8,3.6,0.0,0.018018018018018014,0.009009009009009007,0.027027027027027032,0.0,0.009009009009009007,0.009009009009009007,0.018018018018018014,0.018018018018018014,0.045045045045045036,0.009009009009009007,0.0,0.0,0.027027027027027032,0.009009009009009007,578.0,0.0,0.1227606079955164,0.0,0.0,0.0,0.09953951594372144,0.0,0.1260505010713627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07255522969348374,0.0,0.0,0.0,0.0,0.2332003783776117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07090942912181772,0.0,0.0,0.20474411806238196,0.08581356322888586,0.0,0.0,0.0,0.0,0.0,0.0,0.09192390150194743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06112717092274924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07479185424362224,0.06737357614427866,0.0,0.0,0.10997837624362476,0.0,0.24012021611128603,0.0,1233
