,post_id,family_senti,partner_senti,self_senti
0,t2bsu,0,0,0
1,1ndbl6,0,0,0
2,tkm7p,0,0,0
3,20p9qp,0,0,0
4,2gkq2f,0,0,0
5,glvft,0,0,0
6,11y95h,0,0,0
7,11ao8a,0,0,0
8,1po35j,0,0,0
9,2nk2r7,0,0,0
10,1de9x1,0,0,0
11,grevd,0,0,0
12,1uyhs2,0,0,0
13,2wddms,0,0,0
14,fjofs,0,0,0
15,iio12,0,0,0
16,vh0xs,0,0,0
17,356fyc,0,0,0
18,146uri,-2,0,0
19,3ayhwm,0,0,0
20,2o8ypc,0,0,0
21,279fui,-3,0,0
22,qc75f,0,0,0
23,vj35l,0,0,0
24,e90vt,-3,0,0
25,1dlkt4,0,0,0
26,1lgtox,2,-3,-1
27,2qxzvi,-2,0,1
28,1o7v3a,0,1,0
29,10sc1d,0,0,0
30,35g5xv,-2,0,0
31,i2udj,0,0,0
32,due8r,2,2,-1
33,1gfttl,0,0,0
34,k0v3h,-2,0,-2
35,2viwcd,-1,0,0
36,tr7xc,2,0,0
37,2fwcra,0,0,0
38,1xhpgb,0,0,0
39,38y8ws,1,0,0
40,1r5vrr,0,0,0
41,1emcng,1,0,0
42,1ypdch,0,-3,0
43,39s6sn,1,0,0
44,2bv6hp,0,-2,-2
45,2ezztt,0,0,0
46,158c9p,2,0,1
47,2i90d5,0,0,0
48,2if6sh,0,0,0
49,3ceb59,0,0,0
50,3d3x8w,0,0,0
51,qr0lv,-3,-3,-1
52,r6c81,0,-2,0
53,1bbzxt,0,0,0
54,1bjpdc,0,0,-1
55,g2z9m,-2,0,0
56,g7zxx,0,0,0
57,lqc87,0,0,0
58,lxaor,-1,0,0
59,12lgxb,2,0,0
60,3b1owg,0,0,0
61,34vxr0,0,0,0
62,2oistx,1,0,0
63,qlr9t,-2,0,-3
64,3drqz4,0,0,0
65,2qvwk8,-3,0,-3
66,2870u5,-1,0,-3
67,1e6gv8,-1,0,0
68,1jto27,0,0,0
69,1p0bt5,0,0,0
70,244hbb,-2,0,0
71,2vpma4,0,0,0
72,32jnvb,-1,0,0
73,1p8n5f,-1,-2,0
74,u6tx4,0,0,-2
75,ulx39,0,0,0
76,1cd0rm,0,0,-4
77,1lfodb,0,0,0
78,1a2lol,1,0,0
79,285sux,0,0,0
80,339k2x,0,-1,0
81,2r3061,2,-2,-1
82,34p5fs,0,0,0
83,1330by,2,0,1
84,1qi0k9,1,0,0
85,1nyp8i,0,0,0
86,1zhs69,0,0,0
87,2eop7p,0,0,0
88,2d52w8,1,-2,0
89,2mg4eh,1,0,0
90,2sd71q,0,0,0
91,2yeuhq,0,0,0
92,364wfy,0,-2,0
93,2joy5l,1,0,0
94,ipbxi,-1,0,-2
95,itt27,0,0,0
96,j7uzl,1,0,0
97,jr35w,1,0,0
98,m3pdi,0,0,-1
99,z2ghj,-2,0,-2
100,24ai21,0,-3,0
101,2w3yxp,-1,-1,0
102,1wmjbi,-1,0,0
103,1wsl5g,0,0,0
104,lugvp,1,0,0
105,2yuw00,1,0,-2
106,2on1co,0,0,0
107,2ybl7j,0,0,0
108,2j24q7,0,-2,-2
109,2z5c1q,0,0,0
110,33kvhb,0,0,0
111,2ml5ti,0,0,0
112,2r1ifa,1,0,-1
113,2y15lm,0,0,0
114,33t3e3,0,0,-2
115,33tc4z,0,0,-2
116,xqdhy,-1,0,0
117,18nnxn,0,0,2
118,2iel86,0,0,0
119,1bp8j1,0,0,0
120,2ltin9,0,0,-1
121,2046ua,0,0,0
122,1puycq,0,-3,0
123,1tg7fw,0,0,-2
124,1tx7yd,0,0,0
125,1y2pyh,0,0,0
126,2vlfvf,-3,-3,0
127,1k2jn3,0,0,0
128,1h3391,0,0,0
129,16wdnt,0,0,-2
130,1790ux,0,0,1
131,31rdz1,-2,0,0
132,1cngam,0,0,0
133,1k29qq,0,0,0
134,1x3hcz,0,0,0
135,3asuxl,0,0,0
136,1pquj1,-2,0,1
137,1sccy8,0,0,0
138,1tzfex,-2,1,0
139,188jqk,-2,0,-2
140,1bhszl,1,0,-3
141,2c2bsn,-1,0,1
142,1t1tll,0,0,0
143,1vu02d,0,0,0
144,1x86po,0,0,0
145,1zscoh,0,0,0
146,1yqwgv,0,0,0
147,2keb1d,0,0,0
148,2r5lwg,-2,0,1
149,1jwu1n,-3,0,0
150,107p1m,1,0,0
151,10kcco,-2,0,-2
152,10mqo2,-1,0,0
153,10wiqt,0,0,-2
154,11ec5q,-1,0,0
155,11o0ma,0,0,0
156,123g1u,1,0,-2
157,stglt,0,0,0
158,sv5rt,-2,0,0
159,swq2y,0,0,0
160,tlikj,2,0,0
161,ubuhm,2,0,0
162,ucex2,0,0,0
163,ujl34,0,0,0
164,wze5r,0,0,0
165,2fv42p,-1,0,0
166,ttj8l,0,0,-2
167,1koi6a,1,0,0
168,2rnaz9,0,0,0
169,2tz193,0,0,0
170,2wd3ti,0,0,0
171,2wk5t3,0,0,0
172,2wnoxi,0,0,-1
173,2zfc62,0,0,0
174,2z67pv,-2,0,-1
175,3ecemc,1,0,-3
176,3h893p,-1,0,-1
177,1xlwu6,-2,0,0
178,lmvfq,-2,1,0
179,pokay,2,0,0
180,dqgo4,1,0,0
181,2tro0t,-3,0,0
182,2u4wgg,0,0,0
183,1udbrm,0,0,0
184,2qlb67,0,0,0
185,2uhjye,0,0,0
