,user_id,postingFrequency,postingInterval,generalMoreFreq,generalWordCount,healthPostingFrequency,healthPostingInterval,healthMoreFreq,healthWordCount,mentionMethods,SWFrequency,SWPostingInterval,SWFreq,SWWordCount
0,22002.0,21.0,44.15,1.0,89.3,2.0,0.0,0,178.66666666666666,0.0,1.0,0.0,0,0.0
1,22006.0,44.0,23.27906976744186,0.0,37.93913043478261,3.0,159.5,0,315.8333333333333,1.0,1.0,0.0,0,0.0
2,22015.0,20.0,55.89473684210526,1.0,31.689655172413794,3.0,379.5,0,172.11111111111111,1.0,1.0,0.0,0,0.0
3,22134.0,118.0,14.623931623931623,0.0,5.787878787878788,17.0,97.0625,0,232.5,1.0,6.0,142.6,1,100.0
6,22354.0,86.0,2.823529411764706,0.0,86.65333333333334,3.0,149.0,0,289.6666666666667,0.0,3.0,59.0,0,70.0
7,22733.0,126.0,5.616,0.0,37.22222222222222,1.0,0.0,0,0.0,1.0,5.0,33.5,0,3.0
8,22913.0,98.0,22.65979381443299,0.0,106.0909090909091,8.0,78.85714285714286,1,266.3333333333333,0.0,1.0,0.0,0,225.0
9,23308.0,642.0,2.6770670826833074,0.0,48.16923076923077,25.0,32.833333333333336,1,155.66666666666666,1.0,1.0,0.0,0,165.0
10,23785.0,76.0,9.066666666666666,0.0,108.76923076923077,0.0,0.0,0,0.0,1.0,1.0,0.0,0,96.0
11,26024.0,155.0,5.701298701298701,0.0,28.214285714285715,7.0,112.16666666666667,1,101.0,0.0,3.0,90.0,0,85.85714285714286
12,26047.0,17.0,59.8125,1.0,35.723502304147466,0.0,0.0,0,0.0,0.0,1.0,0.0,0,0.0
13,26174.0,52.0,23.274509803921568,1.0,51.40425531914894,1.0,0.0,0,0.0,0.0,1.0,0.0,0,0.0
14,26179.0,44.0,19.53488372093023,1.0,45.69230769230769,4.0,73.33333333333333,0,80.0,0.0,1.0,0.0,0,0.0
15,26244.0,40.0,37.84615384615385,1.0,14.038461538461538,4.0,120.66666666666667,0,404.0,1.0,4.0,452.3333333333333,0,117.0
