"","user_id","family_senti","partner_senti","self_senti"
"1",16,-0.5,0,0
"2",56,-0.5,0,-1
"3",137,0,0,-1
"4",152,0,0,0
"5",370,0,0,0
"6",706,0,0,0
"7",967,-0.428571428571429,0,-0.285714285714286
"8",981,0,-1,0
"9",1215,2,0,0
"10",1233,-2,0,0
"11",1288,1,0,0
"12",1318,1,0,0
"13",1419,0,0,0
"14",1489,0,0,0
"15",1500,-2,0,0
"16",1526,0,0,1
"17",1610,0,0,0
"18",1690,0,0,0
"19",1854,-1,0,-3
"20",2071,0,0,0
"21",2103,1,0,0
"22",2205,0,0,0
"23",2370,-1,0,0
"24",2435,-3,0,0
"25",2655,0,0,0
"26",2667,-3,0,-3
"27",2835,-0.0909090909090909,0,-0.181818181818182
"28",2853,0,-2,0
"29",3032,-1,-2,-2
"30",3236,0,0,0
"31",3344,-1,0,0
"32",3402,0,0,0
"33",3700,-2,0,0
"34",3730,-2,0,0
"35",3973,0,0,1
"36",4031,0,-1,0
"37",4132,-0.411764705882353,-0.352941176470588,0.0588235294117647
"38",4184,0,0,0
"39",4192,0,0,0
"40",4193,-3,0,-1
"41",4517,-0.166666666666667,0,-0.277777777777778
"42",4606,0,0,-3
"43",4796,0,-2,0
"44",4831,0,-2,0
"45",4897,-1,0,0
"46",4983,-1,0,-1
"47",5004,0,0,0
"48",5096,0,-1,0
"49",5169,0,0,0
"50",5170,1,0,0
"51",5196,1,0,0
"52",5215,0,0,0
"53",5227,1,-1,-1
"54",5406,0,0,0
"55",5422,0,0,0
"56",5548,0,0,0
"57",5611,0,0,0
"58",5657,0,0,0
"59",5782,0,-1.5,0
"60",5791,0,0,-0.2
"61",5827,0.133333333333333,0,-0.133333333333333
"62",5985,-1,0,-2
"63",6198,0,0,0
"64",6234,0,0,-1.5
"65",6317,-1,-3,0
"66",6370,0.25,0,-0.75
"67",6375,0.5,0,0
"68",6537,-1.16666666666667,0,-1
"69",6826,-1,0,0
"70",6949,0,0,0
"71",6987,0,0,0
"72",7007,-0.666666666666667,0,-1
"73",7241,-0.333333333333333,-0.166666666666667,-0.5
"74",7312,1,0,0
"75",7371,2,0,0
"76",7489,-1,0,-1
"77",7658,0,0,0
"78",7662,0,0,0
"79",7801,0,0,0
"80",7864,0,0,0
"81",7904,-0.5,0,0.5
"82",8215,-0.0588235294117647,0,0.0588235294117647
"83",8454,1,0,0
"84",8554,0,0,0
"85",8588,-2,-1,-0.333333333333333
"86",8622,1,0,0
"87",8720,1,-1,0
"88",8759,-1,-1,0
"89",8821,0,0,0
"90",8874,0,0,0
"91",8907,0,0,0
"92",8961,0,0,0
"93",8967,0,0,0
"94",9079,0,0,-0.75
"95",9174,0,0,0
"96",9212,0,0,0
"97",9398,-1,0,0
"98",9583,0,0,0
"99",9605,0,3,0
"100",9658,0,0,0
"101",9787,1,2,0
"102",9945,0,0,0
"103",10146,-2,0,0
"104",10171,-1,0,-2
"105",10276,0,0,0
"106",10283,0.5,0,-1.5
"107",10287,0,-3,0
"108",10360,-1,-1,0
"109",10400,-1,-1,-3
"110",10701,0,0,0
"111",10753,1,0,0
"112",10799,0,0,0
"113",10835,-0.125,-0.0416666666666667,0.291666666666667
"114",10869,-0.222222222222222,0,0
"115",10914,1,2,0
"116",10977,0,-2,-1
"117",11349,1,0,0
"118",11455,-2,0,0
"119",11464,0,0,0
"120",11534,0,0,0
"121",11885,-2,0,-1
"122",11907,-2,-2,0
"123",11978,0,0,0
"124",12096,0,0,0
"125",12192,-2,0,0
"126",12216,0,0,0
"127",12447,-1,0,2
"128",12900,0.2,0,-0.6
"129",13018,-0.5,-1,-0.5
"130",13074,0,0,0
"131",13197,-0.5,-1,-0.5
"132",13199,0,0,0
"133",13221,-2,0,0
"134",13291,0,0,0
"135",13317,0.5,0,-1
"136",13347,1,0,0
"137",13704,0,0,0
"138",13750,-1,0,0
"139",13814,0.2,0,-1
"140",13957,-2,0,0
"141",13995,0,0,0
"142",14406,0,0,0
"143",14492,0,-1,-1
"144",14542,-1,-1.5,-0.5
"145",14574,-1,-1,-2
"146",14623,0,0,0
"147",14635,-1,0,0
"148",14637,-2,0,0
"149",15000,-0.333333333333333,-1,0
"150",15033,0,0,0
"151",15127,-0.5,0,0
"152",15152,0,0,0
"153",15163,0.25,0,0
"154",15195,2,0,-3
"155",15355,1,0,0
"156",15416,-2,0,0
"157",15566,0,0,0
"158",15611,-3,0,-3
"159",15696,0,0,0
"160",15769,-2,0,0
"161",15870,1,0,1
"162",15914,0,0,0
"163",15979,-1,0,-2
"164",15984,0,1,2
"165",16035,0,0,-2
"166",16093,0,0,-2
"167",16175,-0.6,0,-0.8
"168",16310,-1,0,0
"169",16392,0,0,-0.666666666666667
"170",16402,1,0,0
"171",16441,0,0,0
"172",16609,0,-3,-2
"173",16719,0,0,0
"174",16723,0,0,0
"175",16768,0,0,0
"176",16807,0,0,0
"177",16927,-2,0,0
"178",16955,0,0,0
"179",17406,0,0,0
"180",17468,1,0,-2
"181",17708,1,0,0
"182",17946,0,0,0
"183",18136,0,0,0
"184",18209,0,0,0
"185",18262,0,0,0
"186",18362,-2,0,0
"187",18482,0,0,0
"188",18583,0,0,0
"189",18647,-1,0,-3
"190",18752,0,0,0
"191",18787,0,0,0
"192",18824,0,0,0
"193",18869,-0.4,-0.2,0
"194",19021,0,0,0
"195",19089,0,0,0
"196",19113,0,-3,1
"197",19339,0,0,-3
"198",19347,0,0,-0.5
"199",19368,0,0,0
"200",19409,0,0,0
"201",19512,0,0,-1
"202",19832,0,0,0
"203",19871,0,0,2
"204",19941,-2,-2,0
"205",19955,0,0,0
"206",19959,2,1,0
"207",19994,0,0,0
"208",20019,0,2,-3
"209",20127,0,0,0
"210",20211,0,0,0
"211",20386,0,0,0
"212",20406,0,0,0
"213",20488,0,0,0
"214",20503,-1,0,0
"215",20508,0,0,0
"216",20747,-1,0,-3
"217",20841,0,0,0
