,Unnamed: 0,Unnamed: 0_x,user_id,postingFrequency,postingInterval,generalMoreFreq,generalWordCount,healthPostingFrequency,healthPostingInterval,healthMoreFreq,healthWordCount,mentionMethods,raw_label,Psy_burden,Psy_lonely,WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP,Unnamed: 0_y,NN,NNS,JJR,MD,NNP,NNPS,PDT,POS,PRP,PRP$,VB,VBD,VBG,VBN,VBZ
Unnamed: 0,1.0,0.9994221463453036,-0.018415181608296034,-0.04634744658238775,0.04733340154501003,-0.015873661773712792,-0.01778564722549725,-0.07644659570011168,0.06510190112688838,-0.04424413902731597,0.032499563390864857,0.06043734436236008,0.10135997172170139,0.04314928171709284,0.03717635660895247,0.04113452249145023,-0.02580150390538917,-0.08099427957719259,0.09500702009337945,-0.01298435055076044,0.006615057881917077,0.0766360023052735,0.003174476840173058,-0.013407105796500222,0.004104054735998311,0.029590406693014045,0.07317970680102516,-0.033906170238928814,0.01755418463296883,-0.057964170444913914,-0.014265305870205565,-0.039464938192566454,0.013809817257655241,0.0030103618109479794,-0.02398243019017057,-0.016032016667081733,-0.010899483108549317,0.02598930795689071,0.010926406150482796,-0.08324649731426727,-0.047802899824822116,0.0063297558751334694,0.015254785732146383,0.017739235646883483,-0.028894862902915937,-0.01973608173043372,-0.01286492558761074,0.05563702558356803,-0.08758531386031056,0.02036031982746572,-0.05990967874802163,-0.02516029305609345,-0.0011712286126196862,-0.09123437863754434,-0.005123127223128468,0.03750061859330327,0.10895634118778548,-0.017571929053641654,0.04263568916912382,0.00036531347261573174,-0.011488722661542215,-0.022533894757644557,-0.03819558889516122,0.02918405447906858,-0.05768987804278642,-0.0535654534575815,-0.07604536797216233,-0.1216900947118653,0.009042117068543971,-0.08267666930273786,-0.003899840664486741,-0.009743007993449838,-0.03881430464691767,0.060674747273372145,-0.04183898741648588,-0.04162568087151708,-0.017569426108084454,0.005898930438943019,-0.0053788313314998915,-0.05092868499127973,0.005362445959747836,-0.04857780631524309,0.0028980939550691254,0.016588010735062487,0.043785212650899026,0.06617742964233972,0.0302669161904316,-0.01974693433442133,0.01307633246997626,-0.03268730403619262,-0.09053553008549284,-0.08953531217436832,-0.009734392291762968,-0.04585240376378197,-0.001023054673838533,0.0025349967045818745,-0.013716552336670334,0.04787781772566386,0.0677789633791172,-0.03277040601225276,0.05156427382943672,-0.03953699101991459,0.001487598241718199,0.0011159309972424043,0.039192499180746555,-0.008017403331124657,-0.04404499586904761,-0.03541308502169441,-0.041739910715888805,-0.0009879589024747325,0.0008874729134546149,0.008474912140296966,-0.012280452759764677,0.005345029903145767,0.03418467387073326,-0.09220616817943109,-0.1442585125357037,0.057745310464934974,-0.05447104198747844,-0.0432894892637818,0.008983924725652685,0.01751520535886591,0.011025811845360688,-0.06315485416104687
Unnamed: 0_x,0.9994221463453036,1.0,-0.020841307697727643,-0.04621843619873027,0.045247204894518916,-0.01575432542891673,-0.018268454519042996,-0.07716447923003478,0.06310325436845826,-0.045289025670513926,0.030180215992720628,0.06261915332448374,0.10437622063168353,0.04363905908007428,0.03844155279009939,0.04012657471531786,-0.024580600159610593,-0.08273840423504418,0.09518654969677384,-0.012547819170665626,0.0052803330404662015,0.07809637958521042,0.0028523685308779073,-0.013201745032301164,0.004074756986700274,0.029363418057891208,0.07395564229461075,-0.035572788368944994,0.017765640327351638,-0.0586807095097621,-0.015978642672746488,-0.039105534034802214,0.014135718566735069,0.00194615421069617,-0.022654335363486294,-0.013860847632092266,-0.012372352432778285,0.026361053834667872,0.011813118807049371,-0.08541090792198074,-0.0485767728348333,0.0065681363718669864,0.013573894881177726,0.01812900460771983,-0.029155168790667468,-0.0205967603956,-0.012582649086537058,0.0577747628783279,-0.08503421148021004,0.018245231176079024,-0.061191304114923885,-0.023946603814350223,-0.0011250949914035481,-0.09021434449547246,-0.006770672872169312,0.036820331915385,0.1078397060793566,-0.0164720413732237,0.04012513204916179,-0.000172488109783986,-0.011808480365587484,-0.022751168395192096,-0.03837472104042035,0.02955334789039895,-0.057595611524598744,-0.053630445748520994,-0.07406095061421998,-0.11927429004900413,0.009429758048266472,-0.08076782492088343,-0.0031356744046794833,-0.01059894547665196,-0.03994113903713051,0.061214327652114986,-0.04112855999866499,-0.04264670871290169,-0.016932733358838627,0.004082550311875711,-0.004593050428655731,-0.05138942613846612,0.0028424054232497817,-0.04995517352910891,0.0011822289699314492,0.014851068414527055,0.0437248219215904,0.06571369901392361,0.02969559221207511,-0.02075110011480633,0.015299932251954439,-0.031088611772515082,-0.08689629007949394,-0.08483285192331202,-0.009853923297908105,-0.04554880502554174,0.0006680636578282177,0.004870965338179662,-0.012474565432258247,0.0498570322652048,0.06631304379461396,-0.031050561937864422,0.05106929494989417,-0.03671530470526456,0.0031663162395201964,0.00033191559000864216,0.039456465629931665,-0.00781329489998472,-0.04479763656261455,-0.03488854860466014,-0.04443096114567471,-0.0006538513566135695,0.001363905546205317,0.008080712527384721,-0.011563553396494711,0.0069308058681018785,0.034700990279402995,-0.09309419274874131,-0.14748486443138104,0.05590212952301427,-0.053412982053193205,-0.04406004202391921,0.007583981732105859,0.018883416913421526,0.01076886469738917,-0.06195248139174746
user_id,-0.018415181608296034,-0.020841307697727643,1.0,0.03930096241590176,0.008590904440510375,-0.06282571255666416,0.049307223256480986,0.01754794994269564,0.0034277659456887276,0.02371266680338644,-0.002419644564564687,-0.015665658959635762,-0.037386180556233314,0.05058645252438985,-0.0506362063848542,0.09124645297799339,-0.02004593107645324,-0.013955584209371302,0.04084974372549221,-0.06418140423249763,-0.008021310385555657,-0.04311809659682027,0.03790524792160748,0.0470335421603039,0.026729817474791206,0.0026821443308700133,0.033847390610394046,-0.022686060531839563,0.03822443274649274,-0.05291632454985059,-0.01855056441871128,0.042519271250802626,0.05360579113573059,-0.00014407457956717678,0.04921655918157449,0.012745584467395455,0.043795575482323906,-0.011687645078908503,0.03122083865699647,0.05388022398354471,0.043177387304400315,-0.07755758364514598,-0.03079954167433066,-0.023308013005516413,0.08005271100268481,0.001973537616361699,0.09647265200722785,0.007545677379275747,0.04538152145036834,0.06292072432132155,-0.03934684865132955,0.0187954000310214,-0.0020452288422619434,-0.023815661814865267,-0.01935108279647566,-0.03499276443274245,0.04037558012228438,-0.06556664762929393,-0.0366395564302485,0.012556435460323048,0.04621406747244683,-0.04966572687379692,0.0011604493643296025,-0.060427005619281264,-0.010411602253640075,0.039960017259502253,0.07820823349249284,0.02415072836861806,0.11549239404104891,-0.013256477842916139,0.033655914877856144,0.013016335418463488,-0.05294354492346984,0.06100037088595746,0.010107973171943407,0.04571905483935559,0.06470306493297705,-0.018946576646660142,0.014029569147086562,0.0008255447379866456,-0.0030946584468959097,-0.09109843844139376,0.02449586823329642,0.034491416110457196,-0.012179100125497522,0.0013132459074815775,0.07163504665006262,0.048994926376951145,0.003913410424117908,-0.027487828942401905,0.0031641263096425796,0.009487161748344347,-0.0031514093097762294,-0.02147477775079133,-0.017218241255463253,0.029635053968877355,0.00024340228653673898,-0.003847479646836043,0.008690520500223089,0.013556403846311097,-0.02210239072381586,-0.0017230432564118746,-0.02788118046373737,-0.05018283363206958,-0.056795121621966746,0.024926459959170758,-0.03136221654642851,0.00338245847703785,0.9990458702146674,-0.034228551374534136,0.0012781041638486655,0.07065355606070303,-0.041384408484636516,0.0726291001822533,0.039716138785035854,0.04618860080625356,-0.019387797140104357,0.049028217858361346,-0.019547205157357236,-0.0505635153380419,-0.017064348918444674,0.051534076108935054,-0.0007474248898654493,0.030394284855358656
postingFrequency,-0.04634744658238775,-0.04621843619873027,0.03930096241590176,1.0,-0.3779959682601755,-0.2505128027404547,0.05400043333092167,0.3912224827251717,0.10672636013567215,0.23758501836672957,0.12085690067551895,0.021976793435623167,-0.08892381938942197,0.031998353439368174,0.08663354116776613,-0.0369677419589148,-0.024992739479214404,0.07471354995889307,-0.1745755594453524,0.02408554973244925,-0.03197938564779245,-0.03431756647380351,-0.1915712800241097,-0.16390907349403142,-0.09771239929630211,-0.10784873079643165,-0.16094399218116315,-0.009153543909900948,0.08395569487468428,0.033974697765611,-0.01663983530009406,-0.0035096749030760345,-0.029403586651913765,-0.1381665967507271,-0.03898220022482453,-0.0637438942210171,-0.028811458404846554,-0.031795445857052095,-0.08468080920732936,-0.030763211115335524,-0.032892283521271784,-0.07540690816661044,-0.07434940061952494,0.04563755219556318,0.0012642571774705842,-0.045383834464863014,0.04086064430580887,-0.08566585456641619,0.21792984751139208,-0.04574336098362118,0.02024212058467903,-0.01930567620826312,0.01415780011768287,0.03246342072919031,0.010575597358620683,-0.09852744665094705,-0.07538786013825156,-0.1152975395054323,-0.056944795111647205,-0.00011061284471524586,-0.0019135361060512348,-0.0020842202360201877,-0.06612769643723383,-0.016674785261649373,-0.003779271990602617,-0.06689345631677569,0.07507439717040006,0.009664180944213912,-0.01856096412835459,0.24931792055755891,0.08416780110005949,-0.06509536842304298,-0.023950524442605828,-0.07799387483368204,-0.029499523562040875,-0.0159033560179547,-0.030953545067452307,-0.05028229051149522,-0.026518027078690415,-0.032302198141999874,-0.15315563110083766,-0.06369181368849341,-0.0848880413543128,-0.1511711724622306,-0.04027818448453185,0.004301926978564662,-0.03924739046099055,0.029523735538214444,0.07462019881650991,-0.02450516884467466,0.14648657789125388,0.24420858412395663,-0.01457111061519042,-0.008080587579727386,-0.010602805113836275,-0.028129562921633364,0.034250444104440586,0.029076176695911428,0.05705245490875277,-0.010310912180978127,0.11152817908131353,-0.04197030730348061,-0.02033578965655501,0.06395413126274407,0.019741218727330326,0.05926681351582142,-0.024577444871660546,0.005511725782480557,0.038993306637851353,0.20018100212344367,-0.0802456845787329,-0.028833201753227695,-0.039326086321645234,0.051753516792906726,-0.03527946247698397,-0.04250602805675485,0.027062341670141436,-0.09456259194594084,-0.10521582762580457,-0.1151328262236863,-0.07294176480355617,-0.05700778758669288,-0.031548585061804746,0.026597142886668
postingInterval,0.04733340154501003,0.045247204894518916,0.008590904440510375,-0.3779959682601755,1.0,0.1694406023513342,-0.019915582925436645,-0.19841502680894635,0.02540501721228228,-0.10920170284848844,-0.13203116853863622,0.0723370666649355,-0.02589459621892164,0.006527158453316091,-0.05292714693473423,0.04978840804129623,0.06212799855711045,0.0812362589151236,-0.04356120589041272,-0.014831269994892019,-0.024789404233149192,0.03863724527781905,-0.055357918843815836,-0.05173259595494571,-0.048918145475808736,-0.07520409025172767,-0.08783603064785901,0.08069565585118943,-0.02775543224320257,0.009119269077101299,0.02359724918258552,0.0304785593112726,0.003203342566377421,0.019965597938829613,-0.033681967292345995,-0.05878076709976321,-0.09165460454547882,-0.09244324616952396,-0.030938958227875197,0.014242033104132358,-0.001512460404547651,0.0345848864953889,0.017903976283757117,-0.06991181717445943,-0.055226412243778326,-0.018394942689135118,-0.06302374545401651,0.0633717629804503,-0.11627967743322407,0.042569956453387986,0.01353778055765737,-0.06920616218455819,0.008257160114232635,-0.008907897355405224,-0.011017223797297691,-0.05104668946807078,0.04372251004772439,-0.020171564087589088,-0.016272118543733075,-0.019875287934194366,-0.06543050439277193,-0.11085388924992545,-0.024471191002929854,0.008647565801282016,-0.03881138406989676,-0.017844987849812307,-0.0651694907613114,-0.06778987784002484,-0.008232425177504507,-0.08125158273174342,0.0011192503072959311,0.04543167354699819,0.031859746912837265,0.12870663737904078,0.06550256985440338,-0.046479758998155714,-0.020566567525353883,0.023704813951953993,-0.05398773357748651,0.0032884613841389376,0.039431437085445664,-0.055377301791649784,0.05458586078665083,0.051182358075826453,0.03241364783480187,0.0013914098148794045,0.02464432595035116,-0.009034698014713505,-0.04934083414960788,0.004798229187540934,-0.13909477197692754,-0.1314753331204263,-0.012698911383717768,-0.03857513391606573,-0.01814924524463291,-0.07442036359855791,0.03066860361591787,-0.041083673061606665,-0.0384191343640211,0.0513595499417125,-0.04876370873046656,0.06548537962613277,0.0024543290297778784,0.0010129325477729499,-0.056989270923453995,-0.08616412303828948,0.06793505981479377,0.05846976738415601,0.010324034662965166,0.04249731409770883,0.029330054413032786,0.04344589386244245,-0.0891076618897623,-0.019298021256635507,0.006874352942374012,0.001983310659953749,-0.011719680484457732,-0.05553998004233627,0.01698800808146154,-0.027561920045831016,0.04254379689482523,0.053104408590154445,0.04440073194387554,0.006836160972385302
generalMoreFreq,-0.015873661773712792,-0.01575432542891673,-0.06282571255666416,-0.2505128027404547,0.1694406023513342,1.0,-0.05504536174299956,-0.12162587277497744,-0.027155307686491888,-0.030171262525895196,-0.03826846743395157,-0.03695746265262676,0.1145925061776185,0.03483374094854343,-0.08788662543790188,0.025881567557164763,-0.03483761536368453,-0.06356658469438217,0.05481056054245604,-0.07753287894791086,0.013219611911678121,0.011062744262089603,0.05941284349127642,0.06069029352121863,0.0478403438598832,0.08255526751185245,0.1100599033513428,-0.03335656386606936,-0.10120226451554064,0.01889938704528657,0.011545836095767157,-0.04585593395593463,-0.09164431725042325,-0.0013001039550658109,0.04065971347362938,0.06063807580489662,0.031991927364029046,0.022871379022081847,0.07151375593513744,0.002614845304713873,0.03570167552832771,0.01002553588818913,-0.003864740286585538,-0.0060061423978396465,-0.003323610718739346,-0.0023521509863411567,0.005893805673026581,0.008936653070463697,-0.03278152875695381,0.005026685254514175,-0.005495405024762141,0.024284549860804926,0.04047689223723206,0.010186129612033919,0.021979416703139232,0.07330709451092411,0.07118240625568228,0.05454398653528436,0.05597380598779812,-0.01532191719998455,0.040588332701166324,0.042328623971006944,0.04619631754116413,-0.06005607571594613,0.0361134463952647,0.07608398609022618,-0.019691978448938507,-0.0663708241852938,0.011711324341033644,-0.02012722093743829,-0.013550062985707448,0.05372143398478945,0.049285499926233496,0.03946517604470586,0.007335625913434312,-0.008934344471701031,0.0501932861052919,-0.005789873017933841,0.05798607271381327,-0.02282624437471279,-0.004294913116689858,-0.0006261911465663681,-0.022990014934433742,0.0048065729225024644,-0.04827262670917463,0.014606486023556398,0.0442728362511718,0.011394129718263863,0.001024145960677089,0.021206410165255363,-0.09675622265912463,-0.031182719169608932,-0.08260935843210725,-0.05313603885465984,-0.030034918811428408,0.005115526945370856,0.03442111127410436,-0.008130573895759106,-0.05140572001268896,0.04019626627891436,-0.1130056948704623,-0.04703674327893461,0.017197342713597016,-0.0048570665441747705,0.004572761968825187,0.044747082695098,0.05707903320419498,0.03714868286434965,-0.06306415731841418,-0.06402272914063513,-0.00873088596082869,-0.013704996009553293,0.02973463167111596,-0.0246728858222563,0.05712635541876143,0.07063274308737333,0.06180963291381795,0.07397031947426132,0.0033348084597148177,0.048154656281227566,-0.014273986868330807,0.01839685455818897,0.04969096244613629,0.0031822392184224202
generalWordCount,-0.01778564722549725,-0.018268454519042996,0.049307223256480986,0.05400043333092167,-0.019915582925436645,-0.05504536174299956,1.0,0.0015512964647540748,0.04445179321673091,0.004257302059735824,0.012692609684487807,0.023993020211347825,-0.07712404625854836,-0.038210621244421206,-0.03417635544788683,-0.0005347682134834256,-0.01161814216449846,0.06252622139556968,-0.042442578730344585,-0.03211741212735973,-0.028191288344502886,0.028072088858525353,-0.007351833006335566,0.018480176323477784,-0.0027408989518432365,0.001896980527791026,-0.03521993567335296,0.030246926848958,0.040399823402881424,0.028471478482550123,-0.01746183662774381,-0.007597811020008921,-0.037290283386450844,-0.010462378988003352,-0.005023534495131462,0.053438068751735346,0.043789988984898186,-0.03423659527555727,-0.041287595042249846,-0.05014709903728881,-0.044189514093860224,-0.028016414378779202,0.03170151812756921,0.014071876650846036,-0.009111148176804904,-0.02013387641522308,0.010097597452025413,-0.004265860910373329,0.021423557851396945,-0.029629401551970618,0.009502187194991992,-0.035788637317763994,-0.015706720026234244,0.07304521662089769,-0.04396731910306008,-0.014199240038561111,-0.027668924888654377,0.03432789049905763,-0.03536862543919796,-0.01596384635582329,-0.013042989674433333,0.016205366915719333,-0.03285454997622408,0.007508587099867472,-0.05985341048448654,-0.026966477418827878,-0.05137760811281826,-0.04390934541909773,-0.03588805099766218,0.008948509655075024,0.03214880777528122,0.016862283677308316,0.003938199935138374,-0.01097824888688138,0.007893742214753148,0.00010500254102857384,0.04081139955260339,-0.012683404346319215,-0.04598606463719783,-0.044638531959857314,0.0070499005338405755,-0.020573195530415114,-0.007344866200780134,0.03838303690755502,-0.0029072197929216107,-0.0067977132968843265,-0.05592452697351517,0.030442431391828728,0.006187641600654463,-0.028576293145824952,0.024887738244263786,0.007991978741377482,0.04450115884406783,-0.019983091630723003,0.020026114658378065,0.03371177561284109,0.017962585314850912,-0.0038679046439100096,0.026474078098504328,0.10085403867368763,0.04376306011255146,-0.020050456224405835,0.03213354355677208,0.04478803913420661,0.04303228263990676,-0.026040537072980742,-0.04634217298551413,0.012346244655033487,0.051966097387555865,-0.01324208017137933,0.04508993105245049,-0.02793325396384185,-0.006524045586573266,0.042090587694916956,0.0008353777257814327,0.026741984845403244,-0.011710733990378053,-0.000986652228707621,0.023873711141960685,-0.06419341242536498,0.024584061509277288,0.05265549345104549,-0.039821707629329975,-0.021235951443151223
healthPostingFrequency,-0.07644659570011168,-0.07716447923003478,0.01754794994269564,0.3912224827251717,-0.19841502680894635,-0.12162587277497744,0.0015512964647540748,1.0,0.0874588448056083,0.39571680477286364,0.2678336867494549,0.13590399131270328,0.1243047509145488,0.19230248482596185,0.22082365726477532,0.10185646808646213,-0.019331305805369244,-0.09862244239993989,0.06314854885004098,-0.03833004274878488,-0.015931385744693705,0.06363885031201073,-0.01802228963837281,-0.021913119180340165,-0.042598605683075434,-0.039732731340152795,0.007006360215344892,-0.031010615853456085,-0.052134199546777185,-0.0531868749187035,0.08618951876375747,-0.01293086859748087,0.02354924761340172,0.005755557516203731,-0.0024839254862808304,-0.0012738880188715336,0.03322921654993244,-0.01391787319056942,-0.0026570072394162462,0.0167035872733279,-0.010627822623494185,-0.043788349080656305,-0.02431303443765574,0.018612264308451677,0.01699799567037532,-0.013564906105884737,0.03659120507863317,0.03816619522830304,0.04237666995203169,0.023181471534170106,-0.10007172425773012,-0.025853174418040095,-0.0925512764625472,-0.03486577359935369,-0.05292618950593686,-0.0241751080252843,-0.0050013278634722024,-0.015382813399273583,-0.04423232422654758,-0.05707654556303116,0.007496574443844486,0.0374035525654506,0.006606369177779202,-0.057738334138311025,0.03951873802519157,0.019226802029551734,0.0639630400655725,0.012322785965319608,0.0820146586561185,0.03496033169366158,0.022569713666428994,-0.06850153643719355,-0.11088930765545707,-0.027374788260118396,-0.023851719090962828,0.008716641220976668,-0.002992248025684086,-0.03336204929850767,-0.003635551566683468,0.07261757145135923,0.017369315352348147,0.056245330204701634,-0.002499943442185163,0.017314026785753625,0.010481891115748878,-0.01779386486700792,0.005968481655982134,0.05344225873909122,0.043129737194647376,0.006706473773938939,0.008718986552245307,0.004439201860188837,-0.021320180079925942,0.009085204407258794,0.014793046148853878,0.02196942555984068,-0.029821152985249195,0.0008853372739423012,0.030371876879020945,-0.015589642867408077,-0.004999049348128953,-0.020250414039654236,0.0006367741046500815,0.031061515781722476,0.03049461222110836,0.06869031247366754,-0.03222704242481859,-0.04713015028600451,0.01732580856029298,0.0004167554418714146,0.011104590772080824,-0.0037204696917839215,0.01930095786145025,0.024935863352625678,-0.0401758074200628,0.030216980785930804,0.04177454546143124,0.0014445689191147774,-0.058899004337502406,-0.050847985519330056,-0.043318433686135006,0.027775897516028734,-0.014093916821957162,-0.015252117620026415
healthPostingInterval,0.06510190112688838,0.06310325436845826,0.0034277659456887276,0.10672636013567215,0.02540501721228228,-0.027155307686491888,0.04445179321673091,0.0874588448056083,1.0,0.08442828058014416,0.38772953008753774,0.11758074514828755,-0.018501590922716256,-0.008088553220821188,0.03926850058083886,0.19944583994818502,0.04282373560308561,0.0007308032915297088,0.04078150059005009,0.04363022905024628,-0.01914714256527417,0.10294217913400788,0.04584365363850671,0.028512243365982414,-0.009672520532736343,-0.02235450812737033,-0.02840069233454893,0.025693803918538028,0.012007580583944258,-0.010047630680528037,0.026770518706798443,0.018969320142540862,0.04471368617469623,0.07364459833241709,-0.02276008278762355,0.005237090998692432,0.013729988401107852,-0.015424895530785318,-0.031415252579458666,0.04731124462652724,0.045914188058071854,-0.01836361272191777,-0.014288154652372306,0.041233415161910786,0.04631334487253198,0.08422198900201167,-0.013001127312919712,0.06159606338930444,-0.014063054891110077,0.002600772608807182,-0.04070414970597592,-0.03529941109604991,-0.0224478210451096,0.026624205163796495,-0.044601339863319205,0.011405162619596386,0.04986639491194185,-0.0037467583955609006,-0.10376184353364615,-0.02723447451562778,0.06728898142289852,0.013064068809873838,0.030397090389290574,-0.012392702474992067,-0.02163045485054017,0.05579294828137597,0.018528989831235836,-0.013898248229421113,0.0182201905383393,-0.0008146729790716723,0.03266926274469746,0.007396811433919033,-0.03952225864589404,-0.030092637981508207,-0.013732441622128949,0.056970813887599746,-0.06238239269162857,0.03478582974798388,-0.07861624537297088,0.003320357768118877,0.06829527183610866,0.0793851876801212,0.022838940896739126,0.05497300363927208,0.021145882694601163,-0.03932423808293497,-0.01338327947476729,-0.049925731676480165,0.07326684821626887,-0.060543119540637916,-0.013936976912221934,0.0024958151168470153,-0.09375746125142982,0.010612996278786861,0.056247092984413674,-0.026425860286849016,-0.03534430740695622,0.001127883040944332,0.06416615223915297,-0.036285770727578895,-0.0101159264093817,-0.04404623009317143,0.0011484648530788084,0.13943791163276245,0.02663302976818269,-0.015556207783850747,-0.00437597236352395,-0.046011531079705466,0.003465331482814152,-0.048754982200183775,0.09718891019810436,-0.01507604431159725,-0.018989612776575956,-0.03586939148973858,-0.0004360233392781766,-0.006166583951586233,-0.007104331588933621,-0.028826603925636737,0.015412603743766237,-0.07044037190826673,0.06277155623646205,0.07282556668553025,-0.02431912686124183,-0.00716327385302775
healthMoreFreq,-0.04424413902731597,-0.045289025670513926,0.02371266680338644,0.23758501836672957,-0.10920170284848844,-0.030171262525895196,0.004257302059735824,0.39571680477286364,0.08442828058014416,1.0,0.24077738656663958,0.06421967711273295,0.09061849445423183,0.02444678236252216,0.1311368935944139,0.08671807326295082,0.01886658479506827,-0.08724670456216199,0.05234508729051909,0.014397976899993812,-0.01633710170891515,0.06639856596991504,-0.018358194677173253,-0.031200852892238905,-0.10634101025159394,-0.0948257007975292,-0.05633173440929733,0.02706601389814303,-0.061166004030358205,-0.06724499411186295,0.1578245098982313,-0.03962809771414936,0.011747008908691252,0.05004673157609891,-0.007910687246080524,-0.03324833945317837,0.07557927778312501,0.03859659601565885,-0.02580760242556755,0.05838845473103823,0.01610388464984045,-0.004583716217391227,0.021289055083946722,-0.0017419263890084153,-0.016257621135758276,-0.004664536649893915,-0.010767402008188376,-0.0028945863717760776,0.04531846109124722,-0.06066765939398507,-0.10663144336466582,-0.033198704920172566,-0.0871162382344727,-0.04480941494396357,-0.06167597305643964,0.029990159545993923,-0.00764098467628846,0.018422904082367093,-0.01798349293861142,0.04118112802328769,-0.018468584614359473,0.0836394042997876,-0.002760633947055665,-0.04546849601270706,-0.03518083218683872,0.04101665276360825,0.0738621676207245,0.04695585793473502,0.0670222944178872,0.04131546069129249,0.020956134595644448,-0.005978762369716175,-0.08272764083869258,-0.0002115588051507396,0.05750652749926397,0.03201030596886438,0.020607160917976985,-0.02840830938237525,-0.00807347677492333,0.04166305721647033,0.04529028809660625,0.08535474722683646,0.005723411265450442,0.043622355909862916,0.022182656053836215,-0.029270675223368143,-0.02747609256550514,0.0317595520083651,-0.011513583116805696,0.030622663018029236,0.056285255956989806,0.04842370981937044,0.0075582969415453885,1.2491150997867494e-05,0.038932583232786915,0.06582012955054488,-0.03596771256452073,-0.025339503201536655,0.030969371643379047,-0.026865298451756246,0.038319180185640435,-0.02840004198548049,0.03559673385372326,0.09195057871826601,-0.03474172245955972,0.03326368439143332,-0.004534346417715493,-0.03938156730109359,0.028455763340608658,0.004903499328648813,0.027442117104647872,-0.029377697335146422,0.05086928578800428,0.013936098833075498,-0.052118097431333194,0.011497591739879609,0.029683027520921,-0.06893243333301846,-0.07844383788710899,-0.01575469841341756,-0.07101011373373374,0.009207873974557312,0.07655181512069753,-0.06050749605195967
