post_id,user_id,WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
2bvvxg,22002,139,1.9,17.48,49.09,38.57,6.32,10.07,93.53,64.03,25.18,13.67,10.79,0,1.44,0,1.44,11.51,0,10.07,17.27,7.91,5.76,3.6,23.74,7.91,2.16,0.72,2.16,2.16,12.23,6.47,5.76,0,1.44,2.16,9.35,0,0,0,0.72,15.11,2.88,0,2.88,2.16,3.6,4.32,5.04,0.72,0.72,3.6,4.32,1.44,0.72,1.44,0.72,3.6,1.44,0.72,0.72,0.72,1.44,4.32,18.71,0,5.76,0.72,2.88,2.16,0,1.44,0,0,0,0,2.88,1.44,0,1.44,0,0,43.88,37.41,2.88,0,0,0,0,0,0,3.6,0,0
20x9u6,22006,150,5.69,1,99,16.27,10,16.67,94,62,23.33,18.67,18,0,0,0,0.67,4.67,2.67,11.33,12,10,5.33,6,24,0,0.67,2.67,2,1.33,4.67,2,2.67,1.33,1.33,0,5.33,0,0,0,0,18,5.33,2,1.33,3.33,2.67,4,1.33,0.67,0,0.67,6.67,2.67,3.33,0,0.67,4,1.33,0,0.67,2.67,0,6.67,18.67,0.67,10,2,4,4,0.67,0.67,0,0,0,0.67,2,0.67,0,0,0,1.33,29.33,16,4.67,0,0.67,1.33,0,0,0,6.67,0,0
tr7vb,22015,923,15.57,17.02,91.26,12.76,16.19,13.76,94.26,62.08,21.24,15.71,11.92,0.43,0.87,1.73,0.76,5.53,4.88,12.68,11.7,7.91,8.88,2.49,22.43,4.88,3.03,1.19,1.19,1.73,6.93,2.93,3.9,0.54,0.98,1.19,8.67,0.65,0.43,1.84,0.98,16.58,3.58,0.87,3.36,3.14,3.25,4.66,2.71,0.65,0.33,1.73,2.82,1.41,0.87,0.65,0,7.15,1.3,2.6,2.06,1.19,0.65,4.44,14.63,0.98,14.08,2.28,6.5,5.53,1.3,0.98,0.11,0.11,0,0.33,1.19,0.43,0,0.11,0.65,0,19.61,6.93,5.09,0,0,0.33,0.11,0.98,0.98,4.23,0.22,0.76
ip6fx,22134,138,60.8,28.11,95.46,52.99,12.55,10.14,89.86,56.52,23.91,16.67,13.77,0,2.17,0.72,0,7.25,4.35,16.67,5.8,3.62,2.9,1.45,22.46,1.45,1.45,4.35,2.9,2.17,4.35,2.9,1.45,0,0,1.45,9.42,0,0,0,0.72,11.59,3.62,3.62,1.45,1.45,1.45,2.17,2.17,0.72,0.72,0.72,2.17,0,1.45,0,1.45,5.07,0,2.17,0.72,1.45,0.72,11.59,8.7,2.17,13.77,0.72,6.52,7.25,0,1.45,0,0,0,0,1.45,0,1.45,0,0,0,18.12,8.7,2.17,0.72,0,0,0,0,0,2.9,0.72,2.9
j2ve3,22134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
xhk4e,22134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
xjsk1,22134,307,17.56,2.01,98.14,1,11.37,8.79,94.14,60.59,19.54,13.68,13.68,0,0,0,0,5.86,4.89,12.7,12.05,7.82,6.51,5.21,22.48,3.58,0.33,1.63,1.3,0.65,6.51,1.3,5.21,0,1.63,2.28,3.91,0.33,0.98,0.65,0,14.01,2.61,1.95,1.3,1.95,1.63,5.21,3.58,1.63,0,1.95,5.21,0.33,4.23,0.33,0.98,5.54,1.3,1.3,0.33,2.28,0.65,2.93,17.26,0.33,13.36,2.28,7.17,4.56,0.98,0.98,0.98,0,0.33,0.65,1.3,0.33,0.65,0,0,0,17.59,8.79,2.93,0,0,0,0,0.33,0,5.54,0,0
1dlole,22134,52,1,1,74.76,5.37,10.4,13.46,98.08,65.38,25,17.31,17.31,0,0,0,0,7.69,1.92,7.69,19.23,5.77,13.46,5.77,25,3.85,3.85,1.92,0,5.77,13.46,5.77,7.69,0,0,5.77,3.85,0,0,0,0,30.77,3.85,1.92,11.54,3.85,3.85,9.62,3.85,0,0,3.85,0,0,0,0,0,1.92,0,1.92,0,1.92,0,1.92,13.46,0,5.77,0,3.85,1.92,0,0,0,0,0,1.92,0,0,0,0,0,0,23.08,15.38,1.92,0,0,0,0,0,0,5.77,0,0
1hcjbb,22134,193,44.95,12.72,92.24,18.16,12.87,10.36,91.19,55.44,19.17,12.95,12.44,0,0,0,0.52,6.22,7.25,12.95,9.84,6.22,5.18,2.07,20.73,3.63,2.07,1.04,1.55,2.07,3.63,1.55,2.07,0,1.04,1.04,7.25,0.52,0,0,0,8.29,1.04,0.52,1.55,2.59,0,3.63,3.11,1.04,1.04,0.52,4.15,0.52,2.59,0.52,0.52,5.18,1.55,1.55,1.55,1.55,0,9.33,9.33,0,13.99,1.55,6.74,6.74,1.55,0.52,1.04,1.55,0,1.04,2.07,0.52,1.04,0,0.52,0,18.13,7.77,1.04,0.52,0,0,0,0,0,4.15,0,4.66
2d7dzp,22354,40,1,2.31,93.3,72.57,13.33,17.5,92.5,62.5,25,20,17.5,0,0,2.5,0,5,0,2.5,15,7.5,15,7.5,22.5,2.5,0,2.5,0,5,7.5,5,2.5,0,0,2.5,22.5,0,2.5,0,2.5,30,0,5,7.5,5,0,17.5,2.5,0,2.5,0,0,0,0,0,0,2.5,2.5,0,0,0,0,2.5,22.5,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,20,7.5,0,0,0,0,0,0,0,12.5,0,0
