,post_id,partner
0,t2bsu,[]
1,1ndbl6,[]
2,tkm7p,[]
3,20p9qp,[]
4,2gkq2f,[]
5,glvft,[]
6,11y95h,[]
7,11ao8a,[]
8,1po35j,"[""well my best friend stole my gf (btw i am ) she was perfect but nope can't be with me but will dump me for my best friend and my parents think i'm not going to make it through school well i haven't gone for a few days and i just stopped cutting a while ago just because it didn't help just made a mess and made me feel like even more of a reject so yea what ever fuck every thing.""]"
9,2nk2r7,[]
10,1de9x1,[]
11,grevd,[]
12,1uyhs2,[]
13,2wddms,[]
14,fjofs,[]
15,iio12,[]
16,vh0xs,[]
17,356fyc,[]
18,146uri,[]
19,3ayhwm,[]
20,2o8ypc,[]
21,279fui,[]
22,qc75f,[]
23,vj35l,[]
24,e90vt,[]
25,1dlkt4,[]
26,1lgtox,"["" i tried talking to my girlfriend about this but what pains me is that i don't want to make anyone in my life unhappy.""]"
27,2qxzvi,[]
28,1o7v3a,"['she was  years old, had a husband a  beautiful daughters.', "" and i also feel so ashamed because its the first day today on a week off from school, and my first reaction to hearing the news when my boyfriend woke me up was, it's gonna ruin my holiday, and i feel so ashamed for that being my first thought.""]"
29,10sc1d,[]
30,35g5xv,[]
31,i2udj,[]
32,due8r,"[' i have a wife and kids, and have worked a bunch of jobs, including one i have right now that i love.']"
33,1gfttl,[]
34,k0v3h,[]
35,2viwcd,[]
36,tr7xc,[]
37,2fwcra,[]
38,1xhpgb,[]
39,38y8ws,[]
40,1r5vrr,[]
41,1emcng,[]
42,1ypdch,['my girlfriend is in a sad mood all the time and i just upset her more.']
43,39s6sn,[]
44,2bv6hp,"[' my boyfriend may be a little sad, but at least this way he can find someone better.']"
45,2ezztt,[]
46,158c9p,[]
47,2i90d5,[]
48,2if6sh,[]
49,3ceb59,[]
50,3d3x8w,[]
51,qr0lv,[' i was raped by my bf of  years; it pushed me over the edge and sent me to the psych ward.']
52,r6c81,"["" it's my  year anniversary with my bf tomorrow, but all i can think about is having to take a test for an hour with her drilling me with questions about why i do/don't do different things."", "" for the longest time, i'd have a flashback to my ex raping me every time i saw a guy that looked like him.""]"
53,1bbzxt,[]
54,1bjpdc,[]
55,g2z9m,[]
56,g7zxx,[]
57,lqc87,[]
58,lxaor,[]
59,12lgxb,[]
60,3b1owg,[]
61,34vxr0,[]
62,2oistx,[]
63,qlr9t,[]
64,3drqz4,[]
65,2qvwk8,[]
66,2870u5,[]
67,1e6gv8,[]
68,1jto27,[]
69,1p0bt5,[]
70,244hbb,[]
71,2vpma4,[]
72,32jnvb,[]
73,1p8n5f,"[' i was the one who sat with you day after day when your first girlfriend broke up with you.', ' hell i bought you plan b because your shit fuck of a boyfriend couldnt support you and when he found out you could be pregnant he acted like he cared.']"
74,u6tx4,[]
75,ulx39,[]
76,1cd0rm,[]
77,1lfodb,[]
78,1a2lol,[]
79,285sux,[]
80,339k2x,"["" last night i broke down in front of my boyfriend and now i feel like he must think i'm a pathetic piece of shit and i don't blame him.""]"
81,2r3061,"[' but my depression has caused me to lose my girlfriend by driving her away.', ' and then to top it all off i found out tonight that my ex already is dating someone new who was a mutual friend.']"
82,34p5fs,[]
83,1330by,[]
