,post_id,self
0,t2bsu,[]
1,1ndbl6,[]
2,tkm7p,[]
3,20p9qp,"["" i was forged in the fires of academia and draw all my self worth from it and now i can't even bring myself to try.""]"
4,2gkq2f,[]
5,glvft,[]
6,11y95h,[]
7,11ao8a,[]
8,1po35j,[]
9,2nk2r7,[]
10,1de9x1,[]
11,grevd,[]
12,1uyhs2,[]
13,2wddms,[]
14,fjofs,[]
15,iio12,[]
16,vh0xs,[]
17,356fyc,[]
18,146uri,[]
19,3ayhwm,[]
20,2o8ypc,[]
21,279fui,[]
22,qc75f,[]
23,vj35l,[]
24,e90vt,[]
25,1dlkt4,[]
26,1lgtox,"["" i would not let it get to the point that i would kill myself because i know i can't do that to my family."", "" i know killing myself couldn't solve that problem though.""]"
27,2qxzvi,"[""i cut myself for the first time like four days ago, i just haven't been myself at all."", "" definitely need it, i've locked myself inside my room for four days now.""]"
28,1o7v3a,[]
29,10sc1d,[]
30,35g5xv,[]
31,i2udj,[]
32,due8r,"['i dropped out myself at the end of the semester, and got a room in a cheap boarding house on the edge of campus.']"
33,1gfttl,[]
34,k0v3h,"[' that is where i disgusted myself and this lead to more depression like a cycle.', ' i kept myself in a shell for about  days and nothing came out of it.', ' i talked to my dad and realized that he\'d probably be depressed if i did anything to myself and would probably be asking the question ""what did i miss? did i do something wrong? i could have helped him"" time and again to himself.']"
35,2viwcd,"[' for the very same reasons and more, i cannot kill myself normally.']"
36,tr7xc,[]
37,2fwcra,[]
38,1xhpgb,[]
39,38y8ws,[]
40,1r5vrr,[]
41,1emcng,[]
42,1ypdch,[]
43,39s6sn,[]
44,2bv6hp,"["" but i know i can't kill myself because then she'd be fucked.""]"
45,2ezztt,"[' i have held on to the idea that i could work on myself and she could herself and in .', ' i tried to tell myself i could stop it.']"
46,158c9p,"["" i tried to better myself the best i could, but it didn't do much.""]"
47,2i90d5,[]
48,2if6sh,[]
49,3ceb59,[]
50,3d3x8w,[]
51,qr0lv,"["" i haven't even considered killing myself for the past year and a half, and now i can't get the thoughts out of my head.""]"
52,r6c81,[]
53,1bbzxt,"["" for the first time, i'm on something that has stabilized me just enough so that i have the confidence and energy to work on myself properly.""]"
54,1bjpdc,[' all i think about is killing myself day in and day out.']
55,g2z9m,[]
56,g7zxx,[]
57,lqc87,[]
58,lxaor,[]
59,12lgxb,[]
60,3b1owg,[]
61,34vxr0,[]
62,2oistx,[]
63,qlr9t,"[' yes, he needs to be killed  the impaler style, i believe that he should have his eyes gouged out and sulfuric acid poured into his skull as well, but what about all the other atrocious acts going on right this minute? it s impossible not only for myself to get anything done, but to even have serious, intellectual discourse with the people i am closest to.']"
64,3drqz4,[]
65,2qvwk8,"["" i hate myself and realize that i'm just a financial burden on my family."", ' it\'s that look of ""oh we should have known he\'d be too worthless to handle driving how would i prevent that in the future?""the things i do to distract myself from my loneliness just aren\'t working.', "" i hate everything about myself and i can't even pretend to be okay anymore.""]"
66,2870u5,"["" hearing this made me freak out, knowing that i'll have to push myself to do that much work this time next year."", ' i feel like killing myself before my life gets too busy and i never have enough time for anything.', "" my worst fear is the fear of not being to support myself in the future, all because i'm a lazy shit.""]"
