,post_id,family_senti,partner_senti,self_senti
0,2bvvxg,0,0,0
1,20x9u6,0,0,0
2,tr7vb,-2,0,-1
3,ip6fx,0,0,0
4,j2ve3,0,0,0
5,xhk4e,0,0,0
6,xjsk1,-3,-2,0
7,1dlole,0,0,0
8,1hcjbb,0,0,-1
9,2d7dzp,-2,0,0
10,2ixwz6,0,0,0
11,nvtcu,-2,0,0
12,ny0m7,0,0,0
13,o4qwt,0,0,0
14,qtuww,0,0,0
15,dbs3c,0,0,0
16,19lawc,0,0,0
17,1xo4tq,0,0,0
18,31l4t6,0,1,-2
19,3evcom,0,0,0
20,150jjv,-1,0,0
21,uu4qn,0,0,0
22,141hib,0,0,0
23,klnpz,0,0,0
24,lb0wl,0,0,0
25,2w2kxe,0,0,0
26,10lm3b,0,0,0
27,2wy8ds,-1,0,0
28,2x1wk4,0,0,0
29,acng1,0,0,-1
30,aiugt,0,0,-1
31,b5mhf,0,0,-1
32,bdqea,0,0,-2
33,bgbpj,0,0,0
34,ckqyd,0,0,0
35,d9po5,0,0,-2
36,dltjr,0,0,1
37,dly1f,0,0,0
38,dyeig,-1,0,-2
39,e0b3j,0,0,0
40,ehdmt,0,0,0
41,ejexk,0,0,0
42,fwnvu,0,0,-2
43,fxih4,0,0,-1
44,g1c5p,1,0,0
45,20r5w8,0,-2,-2
46,2n8jed,0,0,-1
47,2wqbn0,2,2,0
48,2vpz5s,-1,1,-1
49,2vd4qm,0,0,0
50,2yksfn,0,0,0
51,2qij0y,-2,0,0
52,2rsokq,-2,-2,-2
53,2xkei4,0,-2,0
54,2nrnq9,0,0,0
55,14v8my,-2,0,0
56,2bdioz,-3,0,0
57,2rksog,1,0,0
58,ukvy0,0,0,1
59,x1kuo,0,-3,0
60,1jrt8a,0,0,0
61,1vwria,0,0,0
62,p9e0m,0,0,0
63,suiq6,0,0,0
64,1ms31g,-2,0,0
65,37ok2a,0,0,0
66,1rvpr7,0,0,0
67,1292dw,-1,0,-3
68,3hppd0,0,0,0
69,1k9phs,0,0,0
70,1tg8bw,0,0,0
71,3dw1ba,-2,-2,0
72,3ex09e,0,0,0
73,3fw0o2,0,0,0
74,3gb0g0,0,0,0
75,3h9jhv,0,1,0
76,23cfkh,0,0,0
77,1k4fr2,0,0,0
78,1cifgn,0,-3,1
79,24wu2n,0,0,-3
80,2k5qwt,0,0,0
81,2l3xkm,0,0,-1
82,128hby,0,0,0
83,jl6qu,0,0,0
84,10ud6u,0,0,-1
85,2p8s3m,0,0,0
86,d88g5,0,0,2
87,1j3c7j,-2,-2,0
88,2tk8ae,0,0,0
89,1kkugh,2,1,0
90,d7xzi,0,0,0
91,2sb293,0,0,-3
92,1chg6y,0,-2,0
93,2vi70o,1,0,0
94,d8461,2,-2,0
95,deg8d,0,0,0
96,e45se,-1,0,0
97,18t3v6,0,0,-2
98,me4ja,0,0,0
99,288x6u,-2,0,-1
100,245r9n,-3,0,0
101,3c10i2,0,0,0
