,post_id,family_senti,partner_senti,self_senti
0,1sjbf9,0,0,0
1,2bvukn,0,0,0
2,2ddokl,0,0,0
3,2ehdem,0,0,0
4,2eivd3,0,0,0
5,2ezxjs,-2,0,0
6,2fug7u,0,0,0
7,2j7i1w,0,0,0
8,2q3tei,0,0,0
9,1dqk5g,0,0,0
10,fwrn1,-1,0,-1
11,u2mgg,0,0,0
12,u5cfn,-1,0,0
13,g8slh,0,0,0
14,gw1rq,0,0,0
15,j2qg6,0,0,0
16,ll7t8,0,0,0
17,n8bqo,0,0,0
18,ybp9f,0,0,0
19,yetid,0,0,0
20,z3xsa,0,0,0
21,zhko9,0,0,0
22,zmfn9,0,0,0
23,zuhv9,0,0,0
24,1eak3t,1,0,0
25,1el5o3,0,0,0
26,1f2yyh,1,0,-3
27,1fguwz,0,0,0
28,1h7wnt,0,0,0
29,1h7z2s,0,0,0
30,1hq7v5,0,0,0
31,1j4rly,0,0,1
32,1k0hrw,0,0,0
33,1u26wj,0,0,0
34,1ufdqy,2,0,0
35,2192u6,0,0,0
36,233y8h,0,0,0
37,2ezxb9,1,0,0
38,2he8yj,-1,0,0
39,2jlnko,-2,0,0
40,q5vuq,3,0,0
41,ql4nu,0,0,0
42,rb6xh,0,0,0
43,sh1z9,0,0,0
44,1bwceb,0,0,0
45,affz8,0,0,0
46,tydik,0,0,0
47,tzoms,0,0,0
48,xots0,0,0,0
49,y1jir,-1,0,0
50,zwxho,0,0,0
51,135ptf,1,0,0
52,17ukmi,0,0,0
53,17z5au,0,0,0
54,196w72,0,0,0
55,1bjtmj,0,0,0
56,1cnjlz,0,0,0
57,1d80uz,0,0,0
58,1o5o7l,0,0,0
59,t8wzn,-1,0,0
60,tkx8h,-2,0,0
61,xa3rj,-2,0,-1
62,xxlox,-1,0,0
63,zsv1y,1,0,2
64,10hrwr,0,0,0
65,116f6g,0,0,0
66,11th58,0,0,0
67,123uhb,0,0,1
68,12itjf,2,0,0
69,14o8u4,0,0,0
70,15cfxn,0,0,0
71,15y5w4,-3,0,0
72,173htf,1,0,0
73,175li9,0,0,0
74,17aqpp,0,0,-3
75,17co2d,0,0,0
76,1a5v3x,0,0,0
77,1fmeug,-2,0,0
78,1hepw3,2,0,0
79,1meoib,0,0,0
80,1rquvk,0,0,0
81,1vqw0c,0,0,0
82,1nehvn,0,0,0
83,2ziaph,0,0,0
84,18xc8z,0,0,0
85,1dqlka,0,0,0
86,1fdr1i,0,0,0
87,1fqshz,0,0,0
88,1fr2pa,0,0,0
89,1he4gw,0,0,0
90,1iiohw,0,0,0
91,1qvpov,0,0,0
92,1wef32,-2,0,0
93,1x1y6g,-1,0,-1
94,22fryv,0,-1,0
95,22l2zx,-4,0,0
96,2498yl,0,-1,0
97,24w6bz,0,0,0
98,2xh0fq,0,1,-3
99,2xvqcd,1,0,0
100,2xxc4t,0,0,0
101,2yckbp,0,0,0
102,2yvru0,0,0,0
103,2zrix7,2,0,0
104,30hr94,0,0,0
105,312lhr,0,0,0
106,3162uj,1,-2,0
107,317haa,0,0,0
108,31efka,0,0,0
109,32ecgu,0,0,0
110,32jisn,0,0,0
111,39so21,0,-1,0
112,xmlql,0,0,0
113,13aakw,0,0,0
114,13hxsh,0,0,0
115,1ktvly,0,0,0
116,1y1atc,-2,0,0
117,1y1chp,-2,0,0
118,1ziifg,0,0,0
119,2f2gbl,0,1,0
120,3ffqyc,0,0,0
121,3ffuwm,0,0,0
122,yv1k2,0,-1,0
123,10bxj2,0,-1,0
124,10uk3w,0,0,0
125,11efyr,0,0,0
126,dkuaf,0,0,-1
127,ee8el,0,0,1
128,ee9xu,0,0,0
129,fbijk,0,0,-2
130,ff5gr,0,0,0
131,2j6ssy,0,0,-2
132,2k1j9b,-2,0,0
133,2kf0w1,0,0,0
134,2n8h77,-2,0,1
135,2wqam7,2,2,0
136,2wqhtp,2,2,0
137,2xn6mu,0,0,0
138,30c1ul,0,0,0
139,2dkwbd,-1,0,-2
140,2gma7v,0,0,0
141,2mfz2v,0,0,0
142,2nik6i,0,0,0
143,2v8wja,1,0,0
144,2vx6j0,0,0,1
145,2w7zhh,0,0,0
146,2yy5sg,0,0,0
147,2z5eq3,0,0,0
148,34ntka,0,0,0
149,3a4arb,0,0,0
150,2uwe5a,0,0,0
151,33pv66,0,0,0
152,1p5xj0,0,0,0
153,20lufb,0,0,0
154,12klfi,0,0,0
155,1s8aap,-1,0,0
156,22py6h,0,0,-2
157,26cm38,-3,0,0
158,26cqfq,0,0,2
159,27d4jn,0,0,0
160,x0bs6,0,0,0
161,zmqs9,2,0,0
162,10098n,0,0,-1
163,10st1f,0,0,0
164,10z2r1,0,0,0
165,12fxce,-1,0,0
166,12ufad,0,0,0
167,13hqo6,0,0,0
168,13utmi,0,0,0
169,14l1t2,0,0,2
170,17tkuu,0,0,0
171,180xtm,-2,0,0
172,21vykf,2,0,-2
173,2il4m4,0,0,0
174,2ml59m,0,-3,0
175,2txgbo,1,0,0
176,2wkw2r,1,0,0
177,xhh8f,0,0,0
178,y1223,0,-1,-2
179,2o0ddi,0,0,0
180,1epp9w,0,0,0
181,1fl5x4,0,0,0
182,1fs8od,0,0,0
183,1i3gr0,0,0,0
184,1i492a,0,0,-2
185,1j8455,0,0,1
186,1jcjpj,0,0,-3
187,1jk5zj,0,0,0
188,1l91ju,0,0,0
189,1l91wd,0,0,0
190,1qmjz7,0,0,0
191,1rlylv,-1,0,0
192,1rvo5c,0,0,0
193,1ub3pp,0,0,0
194,1uhefr,0,0,0
195,1yaegv,0,0,0
196,1zw44c,0,0,0
197,20zuue,0,0,0
198,218w7o,0,0,0
199,221u7r,0,0,1
200,226pp6,0,-2,0
201,22gstw,1,0,-3
202,2743a5,0,0,0
203,274njj,0,0,0
204,277h6t,0,0,0
205,27byf7,0,0,0
206,2b4k0e,0,0,2
207,2bwdk1,-1,0,0
208,2d05fp,0,0,0
209,2d94uk,-2,0,1
210,2djgv3,0,0,0
211,2eg60g,0,0,0
212,2eg67b,0,0,0
213,2fgje4,0,0,0
214,2pw6x9,1,0,0
215,2qha6p,0,0,0
216,2rrfm1,0,0,-1
217,2sfyax,1,0,0
218,1ghdgh,1,0,0
219,1lpg7d,0,0,0
220,sm9l0,1,1,0
221,sne1w,0,0,0
222,stuf9,0,0,0
223,t4fs6,0,0,0
224,1d8pv6,-2,-3,0
225,1ljy14,-2,0,0
226,2t4gem,0,0,0
227,37obp6,0,0,0
228,1n9x1h,4,0,0
229,1raeo8,0,0,0
230,1zr0n0,0,0,0
231,26x9dr,2,0,0
232,27phfk,0,0,0
233,q6bsp,0,0,0
234,2rqk6a,0,0,0
235,3cscam,0,0,0
236,3csdec,0,0,0
237,3e4oj1,0,0,0
238,3e4vm8,0,0,0
239,3f5gyj,-1,0,0
240,rsafp,0,0,0
241,1c6w2b,-3,0,1
242,1funbi,0,0,0
243,1j7dku,0,0,0
244,1kb8h7,-2,0,0
245,1kkbv7,0,0,0
246,1knjtk,0,0,0
247,1ljyvg,0,0,0
248,1m3b0q,0,3,2
249,1mmhaq,0,0,0
250,1n5peq,0,0,0
251,1nrsru,1,0,0
252,1ohigh,0,0,0
253,1puipk,0,0,0
254,23r3ds,0,0,0
255,2fqkk6,-2,0,0
256,31srqi,0,0,0
257,329kgi,1,0,0
258,3bjrtm,-1,-1,0
259,3cly0m,0,0,0
260,3do68r,0,0,0
261,3fd3e8,0,0,-4
262,3ebytx,0,0,0
263,1gvg3f,0,0,-1
264,1gvioj,0,0,0
265,1gx56i,0,0,0
266,1jgnmn,0,0,0
267,219gsn,0,0,0
268,219kga,0,0,0
269,2lci12,0,0,0
270,2lth87,0,0,0
271,x2482,0,0,0
272,x47uk,0,0,0
273,112t5o,0,1,-1
274,2ecl1x,0,0,0
275,2gq0cl,0,1,0
276,2pmwbn,0,0,0
277,2t4zxr,0,0,0
278,2va0vg,-1,-2,0
279,3asp9a,0,0,0
280,3e1s17,1,0,0
281,3efex6,1,0,0
282,rnar1,0,0,0
283,se844,2,0,1
284,sm65j,0,0,0
285,vczn0,0,0,0
286,wuhi0,0,0,0
287,10sav4,-1,0,0
288,10sbmy,-1,0,0
289,12fsm4,0,0,0
290,12ftcq,0,0,0
291,13nehm,1,0,-3
292,16m31v,0,-1,-1
293,1hup2u,0,0,0
294,1ato86,0,0,0
295,l7vk2,1,0,-2
296,lmap4,0,0,0
297,m11fu,0,0,0
298,oy268,0,0,0
299,vga0y,0,0,0
300,vum9h,0,0,0
301,ypjsl,0,0,0
302,ypnpu,0,0,0
303,yuv9j,0,0,0
304,111sj8,0,0,0
305,12qqcu,0,-2,-2
306,137fvb,0,0,0
307,14t4ad,0,0,0
308,17ppg4,0,0,-2
309,17pzf6,0,0,0
310,182r42,0,0,0
311,19c75u,0,0,0
312,1iz3wv,-2,0,0
313,1j13vv,0,0,0
314,24jv38,0,0,0
315,2fcfok,0,0,0
316,2fk9rw,0,0,0
317,2fnd0e,1,0,2
318,2g9nn9,0,0,0
319,20y8k0,0,0,0
320,ycwu4,0,0,0
321,cqeay,0,0,0
322,cqf92,0,0,0
323,fo57j,0,0,1
324,1ei0uz,-2,0,0
325,1fb5zz,0,2,-3
326,1fbaxf,0,0,0
327,1tj721,-2,-1,-3
328,2timvp,0,0,0
329,b8qot,0,0,0
330,e2kll,0,0,0
331,gwnsz,0,0,0
332,hbgl3,0,0,0
333,iu9fy,0,0,0
334,kga2w,0,0,0
335,1an4ux,0,0,0
336,1ehwro,0,0,0
337,1gk2t9,0,0,0
338,1h3adi,0,0,0
339,1j7wi0,0,0,0
340,2swsmb,0,0,0
341,3a8le0,0,0,0
342,3ac6va,0,0,0
343,3fpacr,0,0,0
344,j9gt7,0,0,0
345,264xfm,0,0,0
346,26mih6,0,0,0
347,28mzda,0,0,0
348,2940aa,-2,-2,-3
349,297q6n,1,-2,-3
350,29llcd,0,0,0
351,2aumdd,0,0,0
352,2b4igx,-4,0,0
353,2d2flw,0,0,0
354,2d42hx,0,0,0
355,2e47fv,0,0,0
356,2gq10u,0,0,0
357,2h9p8r,0,0,1
358,2hnifw,0,0,0
359,2i1s9c,0,0,0
360,2ils0v,-1,0,1
361,2it6id,1,0,0
362,2kak85,0,0,0
363,2kgahh,0,0,0
364,2ko2fh,0,0,-2
365,2ks1c1,0,0,0
366,2ls5to,0,0,1
367,2m6zoq,0,0,0
368,2mkf4i,0,0,0
369,2n7f7k,0,0,-1
